Complexity,Loss,Equation
1,0.011283513,"0.28664744"
4,0.008633741,"0.2521785 / x2"
6,0.003644162,"(x1 * -0.1375427) + 0.41881958"
8,0.0036441616,"((x1 + 0.45836607) * -0.13755836) + 0.48189136"
9,0.0017390823,"((x1 * -0.16353069) / x3) + 0.44554734"
11,0.0005245251,"(x0 * 0.022889713) + ((x1 * -0.14952892) + 0.41030127)"
13,0.00052452506,"(((x0 * 0.027383313) + 0.49085295) / 1.1963156) + (x1 * -0.14953317)"
14,0.0004688941,"((x4 + x1) * -0.1478855) + ((x0 * 0.023732658) + 0.41073516)"
16,0.0003269931,"((x1 * -0.12937094) + 0.41686302) + ((x0 * 0.044325687) + (x10 * -0.04640707))"
18,0.00032699303,"((x10 * -0.04640639) + ((x0 * 0.022146799) / 0.4996462)) + ((x1 * -0.12937142) + 0.41686293)"
19,0.00032059997,"((x10 * -0.047576915) + ((x0 * 0.044473883) / x11)) + ((x1 * -0.1286734) + 0.41679615)"
21,0.00019943707,"((x1 * -0.1386608) + 0.4253751) + (((x10 * -0.0748317) + (x0 * 0.08522825)) / (x8 + 0.6244397))"
23,0.00019943705,"((((x0 * 0.09410066) + (x10 * -0.082614735)) * 0.9056183) / (x8 + 0.62433887)) + ((x1 * -0.1386647) + 0.4253758)"
24,0.00019016307,"(((x0 * 0.085119605) + (x10 * -0.07512983)) / (x8 + 0.6187203)) + (((x1 * -0.13777205) / x11) + 0.426325)"
26,0.00015591887,"(((x10 * -0.08941359) + (x0 * 0.09376857)) / (x8 + 0.74261594)) + (((x1 * -0.021577036) + 0.06757062) / (x5 + 0.15660143))"
29,0.00015440246,"(((x10 * (x9 * -0.08944597)) + (x0 * 0.093818516)) / (x8 + 0.7426065)) + (((x1 * -0.021689069) + 0.06791922) / (x5 + 0.15732881))"
