Complexity,Loss,Equation
1,0.010557637,"0.563597"
4,0.009579106,"x4 + 0.54498464"
6,0.0012147621,"(x1 * 0.16555619) + 0.4100035"
8,0.0011914377,"(-24.533964 / (x1 + 11.241145)) + 2.583998"
9,0.0008713948,"(x1 + 2.1840723) / (x3 + 4.5679455)"
11,0.0006428998,"(((x0 * -0.00836851) + 0.17604022) * x1) + 0.4090123"
13,0.00063992204,"(((x0 * -0.010330562) + 0.17669319) * (x1 + -0.23930356)) + 0.45061916"
14,0.0005233381,"(((x0 * -0.008925506) + 0.17443773) * (x4 + x1)) + 0.40830183"
16,0.00020135171,"(((x10 + 6.4430614) * (x1 + 3.4815614)) * 0.018432265) + (x0 * -0.048879545)"
18,0.00019999518,"((((x10 + 6.514903) * (x1 + 3.4146667)) * 0.036627933) + (x0 * -0.09618205)) / 1.9758292"
