Complexity,Loss,Equation
1,0.0052819764,"0.2635177"
4,0.0050794384,"x3 * 0.27361846"
6,0.0021028777,"(x0 * 0.024907455) + 0.24610782"
9,0.0012690139,"(x10 * 0.063345276) + (0.18859835 / x2)"
11,0.00020259019,"((x0 * 0.027125012) + 0.31088832) + (x1 * -0.06970396)"
13,0.00020259012,"(((x0 * 0.04093013) + 0.46911332) / 1.5089443) + (x1 * -0.069704525)"
14,0.00011070006,"((x0 * 0.05032123) + 0.31548464) + ((x1 + x10) * -0.047551803)"
16,0.00010235047,"((x1 * -0.05338785) + (x10 * -0.037250526)) + ((x0 * 0.045329135) + 0.31545302)"
17,9.8347984e-5,"((x10 + x1) * -0.04652513) + ((x0 * 0.04989236) + (0.31071454 / x11))"
19,7.7516655e-5,"(((x10 * x3) * -0.02285095) + (x1 * -0.061254904)) + ((x0 * 0.04842979) + 0.31290776)"
21,7.7516626e-5,"(((x3 * x10) * -0.022852398) + (x1 * -0.061256774)) + (((x0 * 0.04474259) + 0.28907892) / 0.92384344)"
22,4.4667268e-5,"(((x0 * 0.051276673) + 0.3082858) / x11) + (((x3 * x10) * -0.026218206) + (x1 * -0.058202174))"
24,3.9168248e-5,"(((x0 * 0.032979883) + 0.19023135) / (x11 + -0.37694654)) + ((x10 * (x3 * -0.02821934)) + (x1 * -0.05626028))"
27,2.9924098e-5,"((((x10 * -0.14950739) * x3) + (x1 * -0.20523202)) / (x3 + 2.8906474)) + (((x0 * 0.054829817) + 0.3107692) / x11)"
30,2.9231782e-5,"((0.3102301 + (x0 * 0.054991197)) / x11) + (((-0.22405976 * (x11 * x1)) + (-0.16032569 * (x10 * x3))) / (x3 + 3.225059))"
