Complexity,Loss,Equation
1,0.006144268,"0.16442631"
4,0.0027766132,"0.15524928 / x2"
6,0.0013387866,"0.2666077 / (x10 + 0.9980245)"
7,0.0013062734,"0.26475683 / (x11 + x10)"
8,0.00100306,"(0.87219477 / (x10 + 2.2151954)) + -0.13519047"
9,0.00062132045,"((x7 * 0.45699847) / x3) + -0.20902666"
11,0.0003466911,"(0.5316881 / (x10 + 1.7438755)) + (x8 * -0.056353346)"
13,0.00027945606,"(((x8 * -0.15856813) + 0.95920366) / (x10 + 2.25369)) + -0.109525524"
16,0.00022743148,"(((x11 + -1.1938081) * (x8 + -5.658419)) / (x10 + 2.6927161)) + -0.11761289"
18,0.00014582454,"((x3 * 0.11197678) + -0.43892965) + (((x8 * -0.29287937) + 2.5324473) / (x10 + 3.7659953))"
21,0.00014071373,"(((x8 * -0.28774938) + 2.4132304) / (x10 + 3.674489)) + (((x3 * 0.110000335) + -0.42294598) * x9)"
23,0.00014039755,"(((x3 * 0.100285575) + -0.38558972) * (x9 + 0.096351616)) + (((x8 * -0.28701466) + 2.408554) / (x10 + 3.6670902))"
24,9.750043e-5,"(((x8 + -3.2580564) * (x11 + -1.1343066)) + ((x1 * (x10 + -1.2155155)) * -0.07568382)) / (x10 + 1.5335724)"
26,7.472679e-5,"(((x10 + -1.212618) * (x1 * -0.06806885)) + (((x8 + -3.3939867) * 0.621567) * (x11 + -1.1969011))) / (x10 + 1.410364)"
28,7.4584736e-5,"((((x10 + -1.2029271) * (x1 + 0.0152872745)) * -0.06675992) + (((x8 + -3.399818) * 0.6243838) * (x11 + -1.1962489))) / (x10 + 1.4162393)"
29,7.2760835e-5,"((((x10 * x9) + -1.1781633) * (x1 * -0.070244394)) + (((x8 + -3.419526) * 0.62228286) * (x11 + -1.1995461))) / (x10 + 1.44557)"
