Complexity,Loss,Equation
1,0.010575893,"0.29284602"
4,0.008194221,"0.26433483 / x2"
6,0.0035902734,"(x1 * -0.13192704) + 0.42490825"
9,0.002496975,"((x1 * -0.1428869) / x3) + 0.4422648"
11,0.0012778066,"((x0 * 0.019518448) + 0.4132137) + (x1 * -0.13725142)"
13,0.0012186529,"((x0 * 0.020200178) + -0.87654024) + (9.351477 / (x1 + 7.1661463))"
14,0.00085947436,"((x3 * (x8 * 0.082582414)) + 0.38898587) + (x1 * -0.17968163)"
16,0.00054649875,"((x0 + 25.288387) / (x1 + 15.082121)) + ((x10 * -0.09049649) + -1.2480261)"
18,0.0004323747,"(((x1 * -0.83908045) + -0.942566) / (x8 + 3.7854354)) + ((x0 * 0.015596479) + 0.64922017)"
21,0.00025918582,"(((x0 * 0.1662746) + (x1 * -0.3475773)) / (x8 + 1.6231828)) + ((x10 * -0.07065444) + 0.44153777)"
23,0.000258994,"((x10 * -0.071068786) + 0.44122347) + ((((x0 * 0.9677927) + (x1 * -2.0140522)) * 0.1765131) / (x8 + 1.6947514))"
24,0.00024362655,"((((x1 * -1.9907998) + x0) * 0.18248631) / (x8 + 1.7941829)) + (((x10 * -0.07567402) + 0.44619316) * x11)"
27,0.00023670433,"((((x1 * -1.9227866) + (x0 * x9)) * 0.18681303) / (x8 + 1.8105448)) + (((x10 * -0.07868916) + 0.44576302) * x11)"
