Complexity,Loss,Equation
1,0.0074601853,"0.2727611"
4,0.0064098053,"0.2373408 / x3"
6,0.00508706,"(x1 * -0.07615109) + 0.35005122"
8,0.004721431,"(0.041343987 / (x10 + 0.19480729)) + 0.19821602"
9,0.0029267708,"((x1 * -0.10848666) / x8) + 0.39338773"
10,0.0023548156,"(x8 * 0.5278618) / (x8 + x1)"
11,0.0013818691,"((x8 * 0.15110862) + (x1 * -0.15044318)) + 0.27633694"
12,0.0013549285,"((x8 * 0.22782823) + 0.21349582) / (x7 + x1)"
13,0.0012449014,"((x8 + x6) * 0.26190802) / (x7 + x1)"
14,0.0006581999,"((x8 * 0.14987715) + ((x7 * x1) * -0.21160504)) + 0.28126281"
16,0.00028666123,"(((x1 * -0.15795493) + 2.8944218) * x11) + ((x8 * 0.14829843) + -2.5790265)"
18,0.00028666118,"(((x1 * -0.15795495) + 2.8944218) * x11) + (((x8 * 0.14994651) / 1.0111135) + -2.5790265)"
19,0.00027477002,"((((x1 * -0.1573849) + 2.9299142) * x11) + ((x8 * 0.14725749) + -2.6145182)) / x9"
22,0.00027476964,"(((0.14725749 * x8) + -2.6145182) + (((-0.1573849 * x11) * x1) + (2.9299142 * x11))) / x9"
23,0.00027197055,"((x8 * 0.14848202) + -0.6863101) + (((x1 * -0.15784362) + (x11 * x11)) * (x5 + x11))"
25,0.00027191103,"((((x11 * x11) + (x1 * -0.15679906)) * (x5 + x11)) + ((x8 * 0.14743154) + -0.6882309)) / 0.9930157"
26,0.00026236157,"((((x1 * -0.15718399) + (x11 * x11)) * (x11 + x5)) + ((x8 * 0.14748083) + -0.68682367)) / x9"
28,0.0002619096,"(((x8 * 0.1446437) + -0.6920363) + (((x1 * -0.15436046) + (x11 * x11)) * (x5 + x11))) / (x9 + -0.01894297)"
