Complexity,Loss,Equation
1,0.010959357,"0.5838657"
4,0.009399095,"x4 + 0.5652891"
6,0.00090760196,"(x1 * 0.15482615) + 0.42306006"
8,0.0007574337,"(-4.583445 / (x1 + 4.370401)) + 1.4432395"
9,0.00066423265,"((x2 + x1) * 0.11504928) + 0.34757403"
11,0.00055294024,"(x10 * 0.016247198) + ((x1 * 0.14506152) + 0.41677985)"
12,0.0005201251,"(((x1 + x2) * 0.11659407) + 0.33891034) / x11"
13,0.00030975227,"((x1 * 0.122110106) + 0.5298504) + (-0.0902344 / (x10 + 0.64552295))"
16,0.00012752463,"((x10 + 3.0237803) / (x0 + 10.305619)) + ((x1 * 0.11243197) + 0.11011642)"
19,0.00012057898,"(((x11 * x10) + 2.9442708) / (x0 + 10.189506)) + ((x1 * 0.1119234) + 0.11497836)"
21,8.691348e-5,"((x1 * 0.11732109) + 0.40038472) + (((x0 * -0.0416329) + (x10 * 0.127942)) / (x3 + 0.45856097))"
24,8.477797e-5,"((x1 * 0.11645299) + 0.40067282) + ((((x9 * -0.046789706) * x0) + (x10 * 0.14155376)) / (x3 + 0.58665746))"
27,8.429592e-5,"(((x10 * 0.15612885) + ((x0 * -0.052215144) * (x9 * x9))) / (x3 + 0.7262571)) + ((x1 * 0.115668416) + 0.40100366)"
28,8.385034e-5,"(((x10 * 0.18215384) + ((x9 * x9) * (x0 * -0.062383927))) / (x11 + x3)) + ((x1 * 0.11529998) + 0.40119642)"
30,8.299727e-5,"((((x0 * -0.04931583) * (x9 * x9)) + (x10 * 0.14820747)) / (x3 + 0.64735967)) + (((x9 * x1) * 0.116328165) + 0.4006033)"
