Complexity,Loss,Equation
1,0.010968572,"0.29066747"
4,0.008138114,"0.2609516 / x2"
6,0.0041786553,"(x1 * -0.13011436) + 0.42501563"
9,0.0022348508,"(x3 * 0.5022651) / (x1 + 0.80199087)"
10,0.0018160188,"(x3 * 0.49201006) / (x7 + x1)"
11,0.0005524818,"(((x0 * 0.02038743) + -0.14606452) * x1) + 0.4207013"
13,0.00050798216,"(((x0 * 0.012470823) + -0.1441591) * (x1 + 0.8133968)) + 0.53571624"
14,0.00045736064,"(((x0 * 0.020018889) + -0.1457854) * (x4 + x1)) + 0.42249426"
16,0.000142579,"(x1 * -0.11182853) + (((x0 * 0.41547167) + 1.95267) / (x10 + 4.4979296))"
18,0.00014254263,"(((x0 * 0.41309044) + 1.9284556) / (x10 + 4.5066214)) + ((x1 * -0.112310976) + 0.0059280475)"
19,0.00012670195,"(((x0 * 0.35776332) + 1.9698415) + ((x4 + x1) * -0.6192833)) / (x10 + 4.433147)"
21,9.028151e-5,"(((x0 * 0.35673028) + 1.8376819) + ((x4 + 0.59081614) * (x1 * -0.9537824))) / (x10 + 4.1378555)"
24,8.801288e-5,"(((x11 + (x4 * 1.9559498)) * (x1 * -0.6061837)) + ((x0 * 0.36659974) + 1.9607035)) / (x10 + 4.4381456)"
27,8.758257e-5,"((((x11 * x0) * 0.37005937) + 1.9614122) + ((x11 + (x4 * 1.9561561)) * (x1 * -0.6069224))) / (x10 + 4.4377403)"
