Complexity,Loss,Equation
1,0.008186274,"0.2777284"
4,0.006288097,"0.24693125 / x2"
6,0.0025091404,"(x1 * -0.11833936) + 0.39359775"
8,0.0025091402,"((x1 * -0.0859492) / 0.7263037) + 0.39359248"
9,0.0015903194,"((x1 * -0.12788385) / x3) + 0.4088182"
11,0.0010476502,"(x0 * 0.015654786) + ((x1 * -0.12763645) + 0.38929084)"
13,0.0009822352,"(((x1 * -2.1407177) + -4.0752463) / (x0 + 16.393133)) + 0.6392694"
14,0.0007531308,"(((x1 * -2.1465058) + x8) / (x0 + 12.58812)) + 0.3614903"
16,0.0003215461,"((x1 * -1.1289787) / (x0 + 6.891069)) + ((x8 * 0.066573754) + 0.35917646)"
18,0.000321447,"((x8 * 0.06621358) + 0.36537707) + (((x1 + 0.037643034) * -1.1819907) / (x0 + 7.2282495))"
19,0.00030147575,"((x8 * 0.06694909) + (x11 * 0.3643524)) + ((x1 * -1.152857) / (x0 + 6.950275))"
21,0.00028714314,"((((x1 * 0.09694218) + -1.4003612) * x1) / (x0 + 7.1909633)) + ((x8 * 0.06656963) + 0.37040874)"
24,0.0002741392,"((((x1 * 0.08672887) + -1.3925518) * x1) / (x0 + 7.19194)) + ((x11 * 0.37447986) + (x8 * 0.06703289))"
27,0.0002741389,"((((x1 * x1) * 0.08678285) + (x1 * -1.3928173)) / (x0 + 7.192687)) + ((x11 * 0.37448472) + (x8 * 0.067035966))"
28,0.0002740589,"((((x1 * 0.08653735) + -1.3931092) * (x1 + -0.008561274)) / (x0 + 7.1916947)) + (((x8 * 0.09274361) / 1.3768697) + (x11 * 0.37278485))"
29,0.00027052267,"((x11 * 0.37480682) + ((x8 * 0.092374444) / 1.3768283)) + ((((x1 * 0.08690973) + -1.394239) * (x5 + x1)) / (x0 + 7.191569))"
30,0.00026959312,"((((x1 * 0.023386506) * (x1 * x1)) + (x1 * -1.2524097)) / (x0 + 6.862467)) + ((x11 * 0.37227964) + (x8 * 0.06679842))"
