Complexity,Loss,Equation
1,0.019296465,"0.33141547"
4,0.009091701,"x10 + -0.68223786"
6,0.005319614,"(-0.08870994 / x4) + 0.39644998"
8,0.00032088684,"(-0.6547899 / (x4 + 1.2370051)) + 0.4788914"
9,0.00031108264,"(-0.62643844 / (x4 + x3)) + 0.47894645"
10,0.00017715673,"(x4 * 0.45146057) / (x4 + x1)"
11,0.00015672491,"((x2 * -0.44247776) / (x4 + 1.0564405)) + 0.4581074"
12,0.00012227985,"((x4 * 0.4567243) + -0.031854447) / (x4 + x1)"
14,0.00010589528,"(((x1 * -0.5817525) + 0.13978244) / (x9 + x4)) + 0.4496675"
17,7.990251e-5,"((x9 * -0.5064791) / (x4 + x9)) + ((x9 * 0.022284653) + 0.44282818)"
19,4.6954236e-5,"((x1 * 0.024078492) + 0.43312886) + (((x1 * -0.6618446) + 0.21233103) / (x9 + x4))"
22,4.2844316e-5,"(((x1 * -0.7383804) + 0.31299043) / (x4 + x9)) + (((x1 * 0.01923557) * x1) + 0.43208346)"
24,4.2844313e-5,"(((x1 * -0.73835117) + 0.31293902) / (x4 + x9)) + (((x1 * 0.9209905) * (x1 * 0.02088516)) + 0.43208724)"
25,4.2383293e-5,"(((x1 * -0.7375453) + 0.31057248) / (x4 + x9)) + ((((x1 * x1) * 0.013047869) + 0.2917116) / x8)"
27,4.2382573e-5,"((((x1 * x1) * 0.013027222) + 0.2911698) / (x8 + -0.0012440482)) + (((x1 * -0.7375368) + 0.3105525) / (x4 + x9))"
30,4.2379135e-5,"(((x1 * (x1 * 0.012903047)) + 0.28722194) / (x8 + -0.010169664)) + ((((x11 * x1) * -0.7387478) + 0.31226128) / (x4 + x9))"
