Complexity,Loss,Equation
1,0.0010308425,"0.23795326"
4,0.00023799729,"0.23680599 / x10"
6,5.041228e-5,"(x2 * 0.07065799) + 0.17034884"
8,5.041227e-5,"((x2 * 0.052423876) + 0.1263947) / 0.7419689"
9,4.943204e-5,"((x2 * 0.04770265) + 0.11494913) / x8"
11,9.473474e-6,"(-1.1112857 / (x2 + -5.4510756)) + (x4 * -0.0013444928)"
13,9.230849e-6,"((x4 * -0.0013006573) + -0.07767076) + (-1.9089663 / (x2 + -6.8292756))"
16,9.2118025e-6,"(-1.9263047 / (x2 + -6.849594)) + (((x4 * -0.0019165182) + -0.11787396) * x8)"
17,8.732276e-6,"(-1.0694758 / (x2 + -5.2507463)) + ((x4 + (x9 * x9)) * -0.0013752047)"
19,8.578046e-6,"((x4 * 0.0057327305) + (-0.97108686 + ((x9 * 0.00887383) * x9))) / (x2 + -4.840206)"
21,8.577752e-6,"((((x9 * 0.008844348) * x9) + -0.971868) + ((x4 + 0.10232823) * 0.0057305084)) / (x2 + -4.8413296)"
22,8.010103e-6,"(((x4 * 0.005844496) + -0.9903642) + ((x9 * x9) * (x9 * 0.0041243155))) / (x2 + -4.931055)"
24,7.854019e-6,"(((x9 * -0.08838139) + -1.1444145) + (((x9 * x1) * 0.043062933) + (x4 * 0.0067377826))) / (x2 + -5.712215)"
27,7.18399e-6,"(((x9 * -0.06198268) + -1.1416842) + (((x9 * x9) * (x1 * 0.014404923)) + (x4 * 0.006453653))) / (x2 + -5.71585)"
