Complexity,Loss,Equation
1,0.0037791743,"0.15847585"
4,0.0018088593,"0.14441542 / x3"
6,0.0005981724,"0.3112679 / (x10 + 1.3128412)"
8,0.00043038747,"(0.99550754 / (x10 + 2.8449407)) + -0.12021239"
9,0.00024029009,"((x7 * 0.36584046) / x3) + -0.14054081"
11,0.00012426633,"(x8 * -0.040173877) + (0.5544466 / (x10 + 2.100967))"
13,0.00010495824,"(((x8 * -0.13656919) + 1.1169223) / (x10 + 3.0094683)) + -0.10503424"
14,9.065875e-5,"(0.559305 / (x10 + 2.1493)) + (x5 + (x8 * -0.040476512))"
16,7.6566306e-5,"(0.8541479 / (x10 + 2.5495834)) + ((-0.051836073 / x3) + (x8 * -0.045549396))"
19,6.713358e-5,"((x8 * -0.045196325) + (-0.048652247 / x3)) + ((x5 + 0.8354449) / (x10 + 2.5365722))"
21,5.5841632e-5,"((x8 * -0.044937495) + (-0.041860435 / x3)) + (((x5 * 3.8728352) + 0.8088357) / (x10 + 2.5581875))"
23,5.5839333e-5,"((-0.04188222 / x3) + (x8 * -0.044932406)) + ((((x5 * 2.5168617) + 0.5291506) * 1.5282736) / (x10 + 2.5571501))"
24,5.5702887e-5,"(((x5 * 3.8419452) + 0.79481757) / (x10 + 2.5338438)) + ((-0.04012687 / x3) + (x8 * (x9 * -0.044726443)))"
26,5.540546e-5,"(((x5 * 3.936943) + 0.81917685) / (x10 + 2.5660853)) + ((-0.043997742 / x3) + ((x8 * -0.068877645) / (x11 * 1.5410371)))"
