,process,t,T,Cf_N,G_Cf,V_N,CF_N
0,DoE1_R1,0.0,308.2356158770477,0.038936221276473774,359.6726325328567,1.3332875623847258,0.22125108533304175
1,DoE1_R1,0.008023867763694318,308.23558135668736,0.039004595566708176,359.6726325328567,1.3332875623847258,0.22156377863668994
2,DoE1_R1,0.016047735527388637,308.23550454350453,0.039073119745509186,359.6726325328567,1.333684312165585,0.22187702116794436
3,DoE1_R1,0.024071603291082953,308.2353868490167,0.03914179381287683,359.6726325328567,1.3341136637921662,0.2221908141294912
4,DoE1_R1,0.03209547105477727,308.23522968474106,0.03921061776881109,359.6726325328567,1.3345443319096058,0.22250515872401633
5,DoE1_R1,0.040119338818471593,308.2350344621949,0.03927959161331197,359.6726325328567,1.3349763126516176,0.22282005615420594
6,DoE1_R1,0.04814320658216591,308.23480259289533,0.03934871534637947,359.6726325328567,1.3354096021519146,0.22313550762274592
7,DoE1_R1,0.05616707434586023,308.2345354883598,0.0394179889680136,359.6726325328567,1.3358441965442107,0.22345151433232252
8,DoE1_R1,0.06419094210955455,308.23423456010534,0.03948741247821434,359.6726325328567,1.3362800919622198,0.22376807748562152
9,DoE1_R1,0.07221480987324887,308.23390121964945,0.03955698587698172,359.6726325328567,1.3367172845396547,0.22408519828532916
10,DoE1_R1,0.08023867763694319,308.2335368785093,0.0396267091643157,359.6726325328567,1.337155770410229,0.22440287793413133
11,DoE1_R1,0.08826254540063751,308.2331429482022,0.039696582340216315,359.6726325328567,1.3375955457076567,0.22472111763471417
12,DoE1_R1,0.09628641316433181,308.23272084024535,0.03976660540468354,359.6726325328567,1.3380366065656504,0.22503991858976366
13,DoE1_R1,0.10431028092802613,308.23227196615596,0.039836778357717394,359.6726325328567,1.3384789491179245,0.22535928200196592
14,DoE1_R1,0.11233414869172045,308.2317977374514,0.03990710119931786,359.6726325328567,1.3389225694981917,0.22567920907400685
15,DoE1_R1,0.12035801645541477,308.2312995656489,0.03997757392948496,359.6726325328567,1.339367463840166,0.22599970100857264
16,DoE1_R1,0.1283818842191091,308.2307788622658,0.04004819654821867,359.6726325328567,1.339813628277561,0.22632075900834916
17,DoE1_R1,0.1364057519828034,308.23023703881915,0.04011896905551902,359.6726325328567,1.3402610589440898,0.22664238427602268
18,DoE1_R1,0.14442961974649773,308.22967550682637,0.04018989145138596,359.6726325328567,1.340709751973466,0.22696457801427894
19,DoE1_R1,0.15245348751019205,308.2290956778047,0.04026096373581954,359.6726325328567,1.3411597034994036,0.22728734142580426
20,DoE1_R1,0.16047735527388637,308.2284989632713,0.040332185908819734,359.6726325328567,1.341610909655616,0.2276106757132845
21,DoE1_R1,0.1685012230375807,308.2278867747437,0.04040355797038657,359.6726325328567,1.3420633665758157,0.22793458207940587
22,DoE1_R1,0.17652509080127501,308.227260523739,0.040475079920520005,359.6726325328567,1.3425170703937168,0.2282590617268542
23,DoE1_R1,0.18454895856496933,308.22662162177426,0.04054675175922008,359.6726325328567,1.342972017243033,0.22858411585831565
24,DoE1_R1,0.19257282632866363,308.22597148036704,0.04061857348648676,359.6726325328567,1.3434282032574774,0.22890974567647615
25,DoE1_R1,0.20059669409235795,308.22531151103453,0.04069054510232007,359.6726325328567,1.3438856245707638,0.2292359523840219
26,DoE1_R1,0.20862056185605227,308.22464312529394,0.04076266660671999,359.6726325328567,1.3443442773166063,0.2295627371836388
27,DoE1_R1,0.2166444296197466,308.22396773466255,0.040834937999686544,359.6726325328567,1.3448041576287173,0.229890101278013
28,DoE1_R1,0.2246682973834409,308.2232867506576,0.04090735928121971,359.6726325328567,1.3452652616408103,0.2302180458698304
29,DoE1_R1,0.23269216514713523,308.2226015847964,0.04097993045131951,359.6726325328567,1.3457275854865995,0.2305465721617772
30,DoE1_R1,0.24071603291082955,308.2219136485962,0.04105265150998592,359.6726325328567,1.346191125299798,0.2308756813565394
31,DoE1_R1,0.24873990067452387,308.2212243535742,0.04112552245721895,359.6726325328567,1.34665587721412,0.23120537465680285
32,DoE1_R1,0.2567637684382182,308.2205351112477,0.04119854329301861,359.6726325328567,1.3471218373632776,0.23153565326525383
33,DoE1_R1,0.2647876362019125,308.21984733313406,0.04127171401738488,359.6726325328567,1.3475890018809853,0.23186651838457828
34,DoE1_R1,0.2728115039656068,308.21916243075043,0.04134503463031779,359.6726325328567,1.3480573669009566,0.23219797121746222
35,DoE1_R1,0.2808353717293011,308.2184818156141,0.041418505131817294,359.6726325328567,1.3485269285569048,0.23253001296659165
36,DoE1_R1,0.28885923949299547,308.2178068992423,0.04149212552188344,359.6726325328567,1.3489976829825434,0.23286264483465274
37,DoE1_R1,0.29688310725668976,308.21713909315235,0.041565895800516194,359.6726325328567,1.3494696263115855,0.2331958680243314
38,DoE1_R1,0.3049069750203841,308.2164798088615,0.04163981596771558,359.6726325328567,1.3499427546777452,0.2335296837383138
39,DoE1_R1,0.3129308427840784,308.21583045788697,0.04171388602348158,359.6726325328567,1.3504170642147353,0.23386409317928578
40,DoE1_R1,0.32095471054777275,308.21519245174613,0.04178810596781421,359.6726325328567,1.3508925510562708,0.2341990975499336
41,DoE1_R1,0.32897857831146704,308.21456720195613,0.04186247580071344,359.6726325328567,1.3513692113360634,0.23453469805294308
42,DoE1_R1,0.3370024460751614,308.21395612003425,0.041936995522179325,359.6726325328567,1.3518470411878272,0.2348708958910005
43,DoE1_R1,0.3450263138388557,308.21336061749776,0.0420116651322118,359.6726325328567,1.352326036745276,0.23520769226679167
44,DoE1_R1,0.35305018160255003,308.21278210586394,0.04208648463081093,359.6726325328567,1.3528061941421232,0.23554508838300284
45,DoE1_R1,0.3610740493662443,308.2122219966501,0.04216145401797665,359.6726325328567,1.353287509512082,0.23588308544231978
46,DoE1_R1,0.36909791712993867,308.2116817013734,0.04223657329370901,359.6726325328567,1.3537699789888662,0.2362216846474288
47,DoE1_R1,0.37712178489363296,308.2111626315511,0.04231184245800797,359.6726325328567,1.3542535987061892,0.23656088720101567
48,DoE1_R1,0.38514565265732725,308.2106661948268,0.04238726151087357,359.6726325328567,1.3547383647977644,0.2369006943057668
49,DoE1_R1,0.3931695204210216,308.21019319503006,0.04246283045230578,359.6726325328567,1.3552242733973054,0.2372411071643678
50,DoE1_R1,0.4011933881847159,308.2097431825331,0.04253854928230462,359.6726325328567,1.355711320638526,0.23758212697950506
51,DoE1_R1,0.40921725594841024,308.2093155517434,0.042614418000870076,359.6726325328567,1.3561995026551392,0.23792375495386436
52,DoE1_R1,0.41724112371210453,308.2089096970683,0.04269043660800216,359.6726325328567,1.3566888155808587,0.23826599229013196
53,DoE1_R1,0.4252649914757989,308.2085250129156,0.04276660510370086,359.6726325328567,1.3571792555493976,0.23860884019099368
54,DoE1_R1,0.4332888592394932,308.2081608936922,0.04284292348796618,359.6726325328567,1.3576708186944701,0.23895229985913574
55,DoE1_R1,0.4413127270031875,308.20781673380606,0.04291939176079812,359.6726325328567,1.3581635011497895,0.23929637249724403
56,DoE1_R1,0.4493365947668818,308.20749192766425,0.042996009922196696,359.6726325328567,1.358657299049069,0.23964105930800478
57,DoE1_R1,0.45736046253057616,308.20718586967445,0.04307277797216187,359.6726325328567,1.3591522085260221,0.2399863614941038
58,DoE1_R1,0.46538433029427045,308.206897954244,0.04314969591069368,359.6726325328567,1.3596482257143623,0.2403322802582273
59,DoE1_R1,0.4734081980579648,308.2066275757806,0.043226763737792114,359.6726325328567,1.3601453467478035,0.24067881680306116
60,DoE1_R1,0.4814320658216591,308.20637412869127,0.043303981453457166,359.6726325328567,1.3606435677600583,0.24102597233129164
61,DoE1_R1,0.48945593358535344,308.20613700738375,0.043381349057688826,359.6726325328567,1.3611428848848413,0.24137374804560452
62,DoE1_R1,0.49747980134904773,308.2059156062654,0.04345886655048711,359.6726325328567,1.3616432942558656,0.24172214514868612
63,DoE1_R1,0.505503669112742,308.2057093197437,0.04353653393185204,359.6726325328567,1.3621447920068444,0.24207116484322228
64,DoE1_R1,0.5135275368764364,308.2055175422261,0.043614351201783565,359.6726325328567,1.3626473742714917,0.24242080833189897
65,DoE1_R1,0.5215514046401307,308.2053396681201,0.04369231836028172,359.6726325328567,1.3631510371835205,0.2427710768174025
66,DoE1_R1,0.529575272403825,308.20517509183304,0.04377043540734649,359.6726325328567,1.3636557768766446,0.24312197150241854
67,DoE1_R1,0.5375991401675193,308.2050232077724,0.0438487023429779,359.6726325328567,1.3641615894845773,0.24347349358963355
68,DoE1_R1,0.5456230079312137,308.2048834103457,0.043927119167175906,359.6726325328567,1.364668471141032,0.2438256442817332
69,DoE1_R1,0.553646875694908,308.20475509396033,0.04400568587994056,359.6726325328567,1.3651764179797223,0.24417842478140384
70,DoE1_R1,0.5616707434586022,308.2046376530236,0.044084402481271816,359.6726325328567,1.365685426134362,0.24453183629133118
71,DoE1_R1,0.5696946112222966,308.2045304819433,0.044163268971169706,359.6726325328567,1.366195491738664,0.24488588001420164
72,DoE1_R1,0.5777184789859909,308.2044329751267,0.044242285349634196,359.6726325328567,1.3667066109263426,0.2452405571527008
73,DoE1_R1,0.5857423467496853,308.2043445269811,0.044321451616665335,359.6726325328567,1.3672187798311104,0.24559586890951515
74,DoE1_R1,0.5937662145133795,308.2042645319142,0.04440076777226307,359.6726325328567,1.3677319945866813,0.2459518164873303
75,DoE1_R1,0.6017900822770739,308.2041923843332,0.04448023381642745,359.6726325328567,1.368246251326769,0.24630840108883276
76,DoE1_R1,0.6098139500407682,308.20412747864583,0.04455984974915843,359.6726325328567,1.368761546185087,0.24666562391670815
77,DoE1_R1,0.6178378178044626,308.2040692092594,0.04463961557045605,359.6726325328567,1.369277875295348,0.24702348617364278
78,DoE1_R1,0.6258616855681568,308.2040169705812,0.044719531280320274,359.6726325328567,1.3697952347912665,0.24738198906232242
79,DoE1_R1,0.6338855533318511,308.203970157019,0.04479959687875113,359.6726325328567,1.3703136208065556,0.2477411337854335
80,DoE1_R1,0.6419094210955455,308.20392816298,0.04487981236574859,359.6726325328567,1.370833029474929,0.24810092154566166
81,DoE1_R1,0.6499332888592397,308.2038903828717,0.044960177741312696,359.6726325328567,1.3713534569300998,0.24846135354569318
