Complexity,Loss,Equation
1,0.004748731,"0.25478765"
4,0.00398918,"0.2241891 / x2"
6,0.0015511581,"(x1 * -0.08797034) + 0.34057513"
9,0.00079221727,"((x1 * -0.09716562) / x3) + 0.35525757"
11,0.0002682528,"(((x0 * 0.012364937) + -0.09710075) * x1) + 0.33894035"
13,0.00024518798,"(((x0 * 0.006676624) + -0.09603357) * (x1 + 1.1141914)) + 0.4445743"
14,0.00012455312,"(((x0 * 0.008011591) + -0.0867053) * (x6 + x1)) + 0.38871875"
17,7.6677934e-5,"((x1 + x2) * -0.07158568) + (((x0 * 0.031096278) / x3) + 0.38208365)"
19,7.625595e-5,"(((x0 * 0.03129837) / x3) + 0.38425967) + ((x2 * -0.07532245) + (x1 * -0.07009107))"
20,7.4059346e-5,"((x2 + x1) * -0.07170819) + (((x0 * 0.031204823) / (x3 * x9)) + 0.38232532)"
22,7.2428666e-5,"(((x5 + 0.27415353) * (x1 + x2)) * -0.26043478) + (((x0 * 0.030824024) / x3) + 0.38284832)"
25,6.982991e-5,"(((x0 * 0.030932872) / (x3 * x9)) + 0.3830851) + (((x5 + 0.27547714) * (x1 + x2)) * -0.2596257)"
