Complexity,Loss,Equation
1,0.0030734632,"0.23531918"
4,0.002623067,"0.20389809 / x3"
6,0.001368212,"0.85577965 / (x1 + 2.7147744)"
7,0.0012938204,"x11 / (x1 + 3.2367563)"
9,0.0010035258,"((x1 * -0.066196404) + x11) + -0.6858797"
11,0.0008300054,"(0.725167 / (x1 + 2.2541986)) + (x0 * 0.012336274)"
13,0.0008172707,"(((x0 * 0.08113538) + 2.6036594) / (x1 + 5.025598)) + -0.20532076"
14,0.0004517773,"(((x8 * x6) * 0.097827315) + 0.27867162) + (x1 * -0.10850429)"
16,0.00039705908,"((x8 * 0.066069104) + (-0.071541 / x6)) + ((x1 * -0.106024556) + 0.38730544)"
17,0.00032775025,"(((x8 + x3) * 0.04216858) + ((x1 * -0.08240238) + 0.1768713)) / x7"
19,0.00012010137,"(((x1 * -0.062252622) + 0.20397432) + ((x8 * 0.055488855) + (x0 * 0.032485463))) / x3"
21,7.675712e-5,"(((x0 * 0.03548906) + (x8 * 0.06759012)) + ((x1 * -0.08628665) + 0.2763341)) / (x3 + 0.25376493)"
24,6.5954824e-5,"(((x11 * 0.3251824) + (x1 * -0.10239627)) + ((x8 * 0.07551469) + (x0 * 0.037117828))) / (x3 + 0.41274178)"
27,6.0678765e-5,"((((x11 * 0.38960308) * x11) + (x1 * -0.12359346)) + ((x0 * 0.039210666) + (x8 * 0.08600281))) / (x3 + 0.62218976)"
30,6.0520357e-5,"(((x8 * (x11 * 0.089251734)) + (x0 * 0.03962274)) + ((x1 * -0.12839994) + (x11 * (x11 * 0.40300462)))) / (x3 + 0.66783136)"
