Complexity,Loss,Equation
1,0.0045071864,"0.1502272"
4,0.0020442854,"0.14046137 / x2"
6,0.00078820845,"0.21841371 / (x10 + 0.87120944)"
8,0.000768519,"(0.294698 / (x10 + 1.0817547)) + -0.024685465"
9,0.000739582,"(x5 + 0.21385694) / (x10 + 0.86180294)"
11,0.0001834471,"((x8 * -0.072727375) + 0.3012432) / (x10 + 0.96626115)"
12,0.00017603491,"((x8 * -0.07499506) + 0.30905336) / (x9 + x10)"
14,0.00012895925,"x5 + (((x8 * -0.07324815) + 0.29845244) / (x10 + 0.96746576))"
15,0.00012432876,"(((x8 * -0.07543896) + 0.3058732) / (x9 + x10)) + x5"
16,8.2971e-5,"(((x5 * 3.8287857) + (x8 * -0.07479704)) + 0.29773733) / (x10 + 0.99384165)"
18,8.292814e-5,"(((x8 + 3.7539406) * -0.07464908) + ((x5 + 0.15384337) * 3.753944)) / (x10 + 0.99106586)"
19,7.0997834e-5,"(x5 / (x10 + 0.08549556)) + (((x8 * -0.07802418) + 0.31233588) / (x10 + 1.0648253))"
21,5.4629734e-5,"(((x8 * -0.07394966) + 0.25905904) + (((x6 * 0.0130327325) + x5) * 3.9819355)) / (x10 + 0.98143387)"
24,4.114949e-5,"(((x5 + 0.029504033) * 2.8089874) + (((x8 * -0.049561664) + 0.14518434) * (x7 + x6))) / (x10 + 0.95287603)"
25,3.785952e-5,"((((x8 * -0.050601695) + 0.14934397) * (x7 + x6)) + ((x5 + 0.029818574) * 2.8195922)) / (x11 + x10)"
29,3.3328226e-5,"((((x6 * 0.033456527) + x5) * (x7 * 2.6125033)) / (x10 + 0.5196711)) + (((x8 * -0.08988195) + 0.27995706) / (x10 + 1.2901993))"
