var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,nX,nP,nM,set
0.0,0.0,0.114363365,0.6744889,15.5798,0.0,0.0,0.114363365,0.6744889,0.0,1.237127,0.9999999,0.4549466,0.19590625,0.3491471,set_1
-1.2493314e-07,0.27141926,0.43636835,0.74393266,11.626507,0.0,0.0,0.114363365,0.6744889,0.2020202,1.1815249,0.9999999,0.4536769,0.20714206,0.33918107,set_1
-1.2782043e-07,0.6105795,0.80830574,0.8422828,7.1027822,0.0,0.0,0.114363365,0.6744889,0.5050505,1.1025587,0.9999999,0.44589573,0.22647983,0.32762444,set_1
-1.2683492e-07,0.82676804,1.0128472,0.91018456,4.6019945,0.0,0.0,0.114363365,0.6744889,0.72727275,1.0480244,0.9999999,0.4252412,0.2395467,0.3352121,set_1
-2.560102e-07,1.1233729,1.2275178,1.0086069,1.846657,0.0,0.0,0.114363365,0.6744889,1.070707,0.9694461,0.9999999,0.2779811,0.25999698,0.46202192,set_1
-1.6422356e-07,1.258171,1.2642382,1.0523533,1.1550634,0.0,0.0,0.114363365,0.6744889,1.2323232,0.9347623,0.9999999,0.16175391,0.26503703,0.57320905,set_1
3.5437608e-10,1.4009869,1.2634213,1.0997137,0.76426125,0.0,0.0,0.114363365,0.6744889,1.4141414,0.89760315,0.9999999,0.08440214,0.25860137,0.6569965,set_1
-5.311688e-08,1.483384,1.2524881,1.1302336,0.6104511,0.0,0.0,0.114363365,0.6744889,1.5353535,0.87390244,0.9999999,0.05722137,0.25128964,0.6914889,set_1
1.8381154e-08,1.5782354,1.2317559,1.1696829,0.47987452,0.0,0.0,0.114363365,0.6744889,1.6969697,0.843646,0.9999999,0.03676675,0.24162194,0.72161126,set_1
0.0,0.0,0.1146311,0.6744889,15.5798,0.0,0.0,0.1146311,0.6744889,0.0,1.237127,0.9999999,0.4549459,0.19590843,0.3491457,set_1
-4.4210548e-08,0.14151908,0.2848647,0.70961016,13.486541,0.0,0.0,0.1146311,0.6744889,0.1010101,1.2090302,0.9999999,0.4545142,0.20124811,0.34423766,set_1
-8.058754e-08,0.4827561,0.6720321,0.8037527,8.753996,0.0,0.0,0.1146311,0.6744889,0.38383836,1.1335428,0.9999999,0.45041966,0.21866593,0.33091444,set_1
-2.6246235e-07,0.5480349,0.74134666,0.82315,7.9110174,0.0,0.0,0.1146311,0.6744889,0.44444442,1.1179293,0.9999999,0.44850793,0.22258322,0.3289088,set_1
-5.008412e-07,0.7891566,0.9810314,0.8981012,5.0020275,0.0,0.0,0.1146311,0.6744889,0.68686867,1.0577749,0.9999999,0.43088692,0.23733902,0.33177406,set_1
-3.7998376e-07,1.1573303,1.2409456,1.0197159,1.6364429,0.0,0.0,0.1146311,0.6744889,1.111111,0.96059793,0.9999999,0.2475811,0.26226947,0.49014944,set_1
-3.3050506e-07,1.428579,1.2573403,1.109978,0.7309854,0.0,0.0,0.1146311,0.6744889,1.4545455,0.8896381,0.9999999,0.07661969,0.25739184,0.66598845,set_1
-1.7276217e-07,1.529604,1.2345681,1.1451831,0.64269984,0.0,0.0,0.1146311,0.6744889,1.5959595,0.8623983,0.9999999,0.055607688,0.25278586,0.69160646,set_1
-2.0186552e-07,1.6002271,1.219963,1.1745105,0.5435145,0.0,0.0,0.1146311,0.6744889,1.7171717,0.8399319,0.9999999,0.03992018,0.24554595,0.71453387,set_1
0.0,0.0,0.10758646,0.6744889,15.5798,0.0,0.0,0.10758646,0.6744889,0.0,1.237127,0.9999999,0.45496702,0.19584997,0.34918305,set_1
1.9833164e-08,0.08642063,0.21234527,0.6956585,14.293493,0.0,0.0,0.10758646,0.6744889,0.06060606,1.2202688,0.9999999,0.45474908,0.19897917,0.3462718,set_1
2.236937e-08,0.3205471,0.48699838,0.7574443,10.935337,0.0,0.0,0.10758646,0.6744889,0.24242423,1.1706843,0.9999999,0.4532088,0.20957339,0.33721787,set_1
1.9526112e-08,0.43774632,0.617856,0.7906762,9.342136,0.0,0.0,0.10758646,0.6744889,0.34343433,1.1440113,0.9999999,0.4514366,0.21599472,0.3325687,set_1
-5.0606054e-08,0.76764435,0.9579532,0.89200526,5.2171154,0.0,0.0,0.10758646,0.6744889,0.6666667,1.0626575,0.9999999,0.43341383,0.23609799,0.3304882,set_1
-1.8839866e-07,0.9506706,1.1354604,0.9574739,3.04984,0.0,0.0,0.10758646,0.6744889,0.8888889,1.0102192,0.9999999,0.38104174,0.24826187,0.3706964,set_1
-1.9332177e-07,1.0575712,1.1977341,0.9918091,2.2042992,0.0,0.0,0.10758646,0.6744889,1.010101,0.9827792,0.9999999,0.32023573,0.25578493,0.42397934,set_1
1.1131239e-07,1.6264405,1.216569,1.1696575,0.5879343,0.0,0.0,0.10758646,0.6744889,1.6969697,0.843646,0.9999999,0.043561373,0.24857739,0.70786124,set_1
1.7815202e-07,1.6903429,1.2006944,1.198355,0.5115621,0.0,0.0,0.10758646,0.6744889,1.8181818,0.8218912,0.9999999,0.032226756,0.24168773,0.7260855,set_1
0.0,0.0,0.109038666,0.6744889,15.5798,0.0,0.0,0.109038666,0.6744889,0.0,1.237127,0.9999999,0.4549626,0.195862,0.34917542,set_1
-2.5121247e-07,0.4603246,0.64316875,0.7972235,9.047371,0.0,0.0,0.109038666,0.6744889,0.36363634,1.1387749,0.9999999,0.4509614,0.21730301,0.33173558,set_1
-2.1560896e-07,0.75011295,0.941432,0.8858924,5.434,0.0,0.0,0.109038666,0.6744889,0.64646465,1.06754,0.9999999,0.43558782,0.23498255,0.32942957,set_1
-2.5979494e-07,0.8442814,1.027101,0.91619027,4.3865314,0.0,0.0,0.109038666,0.6744889,0.74747473,1.0432323,0.9999999,0.42163664,0.24062325,0.33774012,set_1
-3.066391e-07,1.0220655,1.165689,0.97474045,2.6446912,0.0,0.0,0.109038666,0.6744889,0.94949496,0.9963914,0.9999999,0.35631987,0.25207055,0.3916096,set_1
-2.8215325e-07,1.3078763,1.2663405,1.0683426,0.97414184,0.0,0.0,0.109038666,0.6744889,1.2929292,0.9222027,0.9999999,0.1266642,0.26348618,0.6098496,set_1
-3.1795133e-07,1.4281335,1.259018,1.1099434,0.691241,0.0,0.0,0.109038666,0.6744889,1.4545455,0.8896381,0.9999999,0.07221883,0.25555024,0.67223096,set_1
-2.8184195e-07,1.5763053,1.229691,1.1696479,0.4714787,0.0,0.0,0.109038666,0.6744889,1.6969697,0.843646,0.9999999,0.03628986,0.24107721,0.7226329,set_1
