Complexity,Loss,Equation
1,0.01983924,"0.4687666"
4,0.01146246,"0.4728396 / x10"
6,0.0006866132,"(0.6799477 / x4) + 0.30819535"
8,0.0006394861,"(0.5638651 / (x4 + -0.26262063)) + 0.31891268"
11,0.00027951106,"((0.7929178 / x4) + 0.24436255) + (x4 * 0.0040939176)"
13,0.0001878504,"((x4 * 0.006398117) + 0.17575659) + (1.2569177 / (x4 + 0.6802111))"
14,0.00015091906,"((x2 + -0.34942463) / x4) + ((x2 * -0.122483514) + 0.4121684)"
16,0.00015033376,"(((x2 + -0.37836722) * 1.0423625) / x4) + ((x2 * -0.12611675) + 0.41549146)"
17,0.00015006588,"((x2 * -0.12266595) + (x8 * 0.61081284)) + ((x2 + -0.34893325) / x4)"
19,9.346876e-5,"(((x2 + -0.6044098) * 1.6352063) / x4) + (((x3 * x2) * -0.15076177) + 0.4343158)"
22,9.242043e-5,"((x2 / (x4 * 1.1842549)) + (x1 * -0.101932764)) + (((x3 * 0.003597158) * x4) + 0.32291463)"
25,9.23607e-5,"(((x3 * x4) * 0.003595266) + 0.32295728) + (((x2 * x8) / (x4 * 0.7988004)) + (x1 * -0.102057695))"
28,9.2360686e-5,"(((x2 * (x11 * x8)) / (x4 * 0.7988037)) + (x1 * -0.10205802)) + (((x4 * x3) * 0.003595234) + 0.3229588)"
