Complexity,Loss,Equation
1,0.0057534007,"0.1698095"
4,0.0028776801,"0.15182066 / x2"
6,0.0017148086,"0.24318485 / (x10 + 0.8996548)"
7,0.0016411176,"0.16176984 / (x2 + x0)"
8,0.0015422495,"(0.5796262 / (x10 + 1.6056057)) + -0.09645626"
9,0.00094375137,"(x7 / (x3 * 1.9930757)) + -0.25220323"
11,0.00049880054,"((x8 * -0.111974485) + 0.3857536) / (x10 + 1.1065693)"
12,0.00048377345,"((x8 * -0.10039649) + 0.35121945) / (x11 + x10)"
13,0.0004192377,"(((x8 * -0.15439008) + 0.6909573) / (x10 + 1.7202134)) + -0.06729454"
14,0.00040569616,"x5 + (((x8 * -0.11283464) + 0.3838719) / (x10 + 1.1115344))"
15,0.00039445574,"(((x8 * -0.10077141) + 0.34820145) / (x10 + x11)) + x5"
16,0.0002809124,"((x8 * -0.11746198) + ((x5 * 6.113645) + 0.3862113)) / (x10 + 1.1625782)"
18,0.00023998064,"((x5 / 0.28029943) + -0.058849026) + (((x8 * -0.15731984) + 0.65504307) / (x10 + 1.7128421))"
21,0.00022617292,"((x5 / (x2 * 0.32458472)) + -0.061307583) + (((x8 * -0.15917242) + 0.67745966) / (x10 + 1.778597))"
22,0.00021083264,"(((x8 * -0.17420551) + 0.6871104) / (x10 + 1.7906138)) + (((x1 * x5) / x10) + -0.057041585)"
24,0.00020531124,"(((x8 * -0.17655337) + 0.6822159) / (x10 + 1.7926003)) + (((x1 * (x5 * 1.1454897)) / x10) + -0.05494072)"
25,0.00020487094,"(((x8 * -0.1785847) + 0.7195591) / (x10 + 1.8543876)) + ((x11 * -0.06336716) + ((x5 * x1) / x10))"
26,0.00019351453,"(((x10 + (x1 * -0.28282624)) * -0.4294126) / (x0 + 2.4466803)) + (((x7 * 0.3549653) + 0.31340724) / (x8 + 1.7192279))"
29,0.000179207,"(((x10 + (x1 * -0.28298482)) * (x9 + -1.458295)) / (x0 + 2.622604)) + (((x7 * 0.35408178) + 0.31596813) / (x8 + 1.7275206))"
