Complexity,Loss,Equation
1,1.8103446,"qG"
3,1.3215145,"nr_P * qG"
5,1.1068733,"qG / (nr_X + nr_M)"
7,0.41846594,"nr_P * (qG / (nr_M + nr_X))"
9,0.1787758,"((nr_P / (nr_M + nr_X)) + 0.42408413) * qG"
11,0.012804669,"(qG * 1.7832729) / (((nr_X + nr_M) / nr_P) + 0.06378262)"
13,2.4114638e-6,"qG * (2.0424626 / ((((nr_X * 1.2985348) + nr_M) / nr_P) + 0.07350891))"
15,2.3840835e-6,"(2.042465 / ((((nr_M + (nr_X * 1.2985499)) - -7.9963465e-5) / nr_P) + 0.07344029)) * qG"
17,2.0736088e-6,"qG * (2.0413911 / (((nr_M + (nr_X * (1.298618 - (nr_M * 0.0023155827)))) / nr_P) + 0.07339794))"
19,2.0116088e-6,"qG * ((2.0413914 / (((nr_M + (((nr_M * -0.0030414988) + 1.2984273) * nr_X)) / nr_P) + 0.07341107)) + -0.0003771502)"
21,1.1015672e-6,"qG * (2.0399837 / ((((nr_X * (((nr_M * -0.011323829) / (nr_X + nr_M)) + 1.299564)) + nr_M) / nr_P) + 0.07345469))"
23,5.6643523e-7,"((nr_P * qG) * 1.5682405) / (((nr_M / ((0.011437687 / ((nr_M / nr_X) + 0.2535058)) + 1.3007802)) + nr_X) + (nr_P * 0.056457013))"
25,4.690992e-7,"((qG * 1.5663475) / ((nr_M / 1.3025371) + (nr_X + (((nr_M * (-0.13089861 / ((nr_M / nr_X) + 0.15692091))) + nr_P) * 0.056386203)))) * nr_P"
27,4.217582e-7,"(qG * nr_P) * (1.5663663 / (nr_X + ((nr_M / 1.3025371) + (((((nr_M + -0.0034809387) * -0.13090698) / ((nr_M / nr_X) + 0.14104147)) + nr_P) * 0.05638607))))"
29,3.5386833e-7,"(1.5663663 / (nr_X + (((nr_P + ((nr_M + -0.005397734) * (-0.12917396 / ((nr_M / (nr_X + 0.013887388)) + 0.12977703)))) * 0.056396045) + (nr_M / 1.3022786)))) * (qG * nr_P)"
