Complexity,Loss,Equation
1,0.19544026,"qG"
3,0.19502757,"qG * 1.0176293"
5,0.15096352,"qG / (nr_M + 0.44915283)"
7,0.07410895,"qG + ((nr_X - nr_M) * 0.42705336)"
9,0.017163973,"qG / (((nr_M * 0.3634945) / nr_X) + 0.58990437)"
11,0.00662833,"qG / ((nr_M / ((nr_X + 0.15927863) / 0.4888785)) + 0.565738)"
13,0.0018152583,"qG / ((nr_M / ((nr_X + (nr_P * 0.17704399)) / 0.49774244)) + 0.5637878)"
15,0.00031800324,"qG / ((((nr_X + nr_M) * 0.4347365) / ((nr_P * 0.083338395) + nr_X)) + 0.17485149)"
17,1.3260398e-6,"qG / ((((nr_M / 0.240482) + (nr_P * -0.29555786)) / (nr_P + (nr_X * 9.058142))) + 0.5986473)"
19,1.3044735e-6,"qG / ((((nr_P * -0.29531026) + (nr_M / 0.240762)) / ((nr_P + (nr_X * 9.050259)) + -0.0025185933)) + 0.5986756)"
21,1.0615397e-6,"qG / ((((nr_X / 0.37522772) + (nr_M / ((nr_M * -0.0007426419) + 0.24148937))) / ((nr_X * 9.058462) + nr_P)) + 0.30455336)"
23,4.456499e-7,"qG / (((((nr_X / 0.3776767) + (nr_M / 0.24133007)) / ((nr_X / 0.11137894) + nr_P)) + 0.3013214) - (-0.00093733537 / (nr_M + 0.24091311)))"
25,3.8322676e-7,"qG / (((((nr_M / 0.24125658) + ((nr_X / 0.3776964) - 0.001344872)) / (nr_P + (nr_X / 0.11137894))) + 0.30132285) - (-0.0009497494 / (nr_M + 0.22360101)))"
27,3.831706e-7,"qG / (((((nr_M / 0.24125658) + ((nr_X / 0.3776964) - 0.0013637329)) / (nr_P + (nr_X / 0.11137894))) + 0.30132285) - (-0.0009497445 / ((nr_M * 0.99240696) + 0.22390385)))"
29,2.560902e-7,"qG / ((0.30211934 - (-0.0008025585 / (((nr_M / nr_X) * (nr_M / 0.11153997)) + 0.27579707))) + (((nr_M / 0.24116647) + (nr_X / 0.3774058)) / (nr_P + (nr_X / 0.11128282))))"
