Complexity,Loss,Equation
1,0.24904555,"qG"
3,0.21623752,"nr_X * qG"
5,0.19406703,"(qG * nr_X) / 1.1257879"
7,0.08711373,"((nr_X - nr_M) * 0.4933248) + qG"
9,0.0072667524,"nr_X * (qG / ((nr_M + nr_X) / 1.9678954))"
11,0.002761267,"qG * (nr_X / (((nr_M * 0.75090706) + nr_X) / 1.8089337))"
13,0.0011448192,"(nr_X * qG) / (((nr_M + 0.06800284) * 0.40570953) - (nr_X * -0.5293907))"
15,1.4332452e-6,"(nr_X * qG) / ((nr_P * 0.029911622) + ((nr_M * 0.40515438) - (nr_X * -0.527856)))"
17,1.2208129e-6,"qG * ((nr_X / (((nr_M * 0.4038207) - (nr_X * -0.52760714)) + (nr_P * 0.029805342))) - 0.0016353594)"
19,1.1677927e-6,"(qG * nr_X) / ((nr_M * ((nr_M * 0.0011637294) + 0.40351278)) + ((nr_P * 0.03001959) - (nr_X * -0.5279997)))"
21,3.3784548e-7,"(nr_X * qG) / ((((0.00078865216 / (nr_M + 0.2106841)) - -0.52584904) * nr_X) + (((nr_P * 0.07290464) + nr_M) * 0.4066998))"
23,2.532044e-7,"(nr_X * qG) / ((((0.00095379446 / (nr_M + 0.22660992)) - -0.52565545) * nr_X) + ((((nr_P * 0.07319187) + nr_M) + -0.0007671635) * 0.40697873))"
25,1.174197e-7,"nr_X * (qG / ((((((0.03210518 / (((nr_M / nr_X) - -0.20569043) / nr_X)) + nr_P) * 0.07329698) + nr_M) * 0.40724078) - (nr_X * -0.52489936)))"
27,3.9987167e-8,"(qG / (((((-0.006411186 / (((nr_M / nr_X) / nr_X) - (-0.2610023 / nr_M))) + nr_M) + (nr_P * 0.0735594)) * 0.4059057) - (nr_X * -0.529284))) * nr_X"
29,3.928008e-8,"(qG / ((((nr_M + (-0.0064430037 / ((((nr_M * 1.0366471) / nr_X) / nr_X) - (-0.26137534 / nr_M)))) + (nr_P * 0.073557064)) * 0.40585977) - (nr_X * -0.529286))) * nr_X"
