Complexity,Loss,Equation
1,0.003997239,"0.15796246"
4,0.0018153306,"0.14395554 / x3"
6,0.0006565421,"0.26322064 / (x10 + 1.0616374)"
8,0.0006423111,"(0.3491676 / (x10 + 1.2977742)) + -0.023679327"
9,0.0006269433,"(x4 + 0.2219219) / (x10 + 0.8809091)"
11,0.0001126996,"((x8 * -0.08151676) + 0.365681) / (x10 + 1.216766)"
13,0.0001107577,"(((x8 * -0.086101) + 0.40339896) / (x10 + 1.3145337)) + -0.008584962"
14,9.0988346e-5,"x5 + (((x8 * -0.08408187) + 0.3725049) / (x10 + 1.2530308))"
16,7.122281e-5,"((((x5 * 4.519196) + -0.096657105) * x8) + 0.39338446) / (x10 + 1.3271619)"
18,7.031422e-5,"((x5 + -0.0029096035) * 3.1187384) + (((x8 * -0.09564677) + 0.43209752) / (x10 + 1.4537265))"
19,5.5804525e-5,"(((x8 * -0.09419877) + 0.46293816) / (x10 + 1.4763097)) + ((x5 + -0.013780686) / x6)"
21,4.9992283e-5,"((x5 * 2.7614365) + (-0.012557849 / x6)) + (((x8 * -0.09730857) + 0.46656528) / (x10 + 1.5150883))"
22,4.5602428e-5,"(((x8 * -0.10033377) + 0.49828517) / (x10 + 1.4641895)) + ((x5 + -0.021511933) / (x3 * x6))"
24,4.4698383e-5,"((x5 / 0.44555542) + (-0.020688547 / (x3 * x6))) + (((x8 * -0.10174459) + 0.49940765) / (x10 + 1.481318))"
25,4.2139294e-5,"(((x8 * -0.10523297) + 0.50574) / (x10 + 1.4641716)) + (((x5 * x8) + -0.022263171) / (x6 * x3))"
27,4.087669e-5,"(((x8 * -0.10793315) + 0.506469) / (x10 + 1.4782574)) + ((-0.021238698 / (x6 * x3)) + ((x8 * x5) / 0.42424554))"
30,3.9915198e-5,"(((x8 * -0.10828425) + 0.5055228) / (x10 + 1.4810613)) + ((-0.020815674 / (x3 * x6)) + ((x8 * x5) / (x3 * 0.48009056)))"
