var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,nX,nP,nM,set
0.0,0.8643308,0.7319218,0.8819493,0.0,0.0,0.52230865,0.8231444,0.5102464,0.9963184,0.383757,0.9784634,0.25890735,0.19093738,0.5501553,set_1
-4.5825008e-08,0.8928518,0.7419726,0.8867335,0.0,0.0,0.52230865,0.8231444,0.5452501,0.99645215,0.39157608,0.9784634,0.257156,0.18939866,0.5534453,set_1
-5.3183804e-08,0.93327594,0.7559289,0.89334214,0.0,0.0,0.52230865,0.8231444,0.599102,0.9963511,0.4040446,0.9784634,0.254611,0.18693455,0.55845445,set_1
-7.434358e-08,0.9942876,0.77817255,0.9046155,0.0,0.0,0.52230865,0.8231444,0.6637242,0.99636227,0.41970932,0.9784634,0.25093827,0.18405777,0.565004,set_1
-8.052439e-08,1.0160108,0.7861009,0.9086988,0.0,0.0,0.52230865,0.8231444,0.68661124,0.99626744,0.42544106,0.9784634,0.2496249,0.18301862,0.56735647,set_1
-1.05713625e-07,1.02397,0.78893316,0.9101432,0.0,0.0,0.52230865,0.8231444,0.6960353,0.99619395,0.44479483,0.9784634,0.24857673,0.18075562,0.5706676,set_1
-5.065837e-08,1.0330611,0.7921687,0.9118,0.0,0.0,0.52230865,0.8231444,0.7068057,0.99617136,0.44765303,0.9784634,0.24801095,0.1802387,0.57175034,set_1
0.0,2.191031,1.2024994,1.1233342,0.0,0.0,0.49892062,0.8231444,1.69768,0.99653465,0.8683765,0.9784634,0.18054675,0.12243654,0.6970167,set_1
-3.7905554e-08,2.213266,1.2108918,1.1331301,0.0,0.0,0.49892062,0.8231444,1.7326838,0.996298,0.9172593,0.9784634,0.1781766,0.117966995,0.7038564,set_1
-1.257549e-07,2.2463193,1.2235703,1.1485829,0.0,0.0,0.49892062,0.8231444,1.7865356,0.9962654,0.94536155,0.9784634,0.1759658,0.11473291,0.7093013,set_1
1.435891e-07,2.284056,1.2383707,1.16769,0.0,0.0,0.49892062,0.8231444,1.8511578,0.9964043,0.9798999,0.9784634,0.17341274,0.11086416,0.7157231,set_1
1.6237132e-07,2.2968996,1.2435014,1.1746073,0.0,0.0,0.49892062,0.8231444,1.8740449,0.99637187,0.99234563,0.9784634,0.17253006,0.109498106,0.71797186,set_1
1.6381766e-07,2.302107,1.2455968,1.1774788,0.0,0.0,0.49892062,0.8231444,1.883469,0.9963332,0.99750274,0.9784634,0.17216936,0.10893631,0.71889436,set_1
1.7012432e-07,2.3080003,1.2479792,1.1807771,0.0,0.0,0.49892062,0.8231444,1.8942393,0.9962669,1.0034199,0.9784634,0.17175893,0.10829482,0.71994627,set_1
0.0,1.3319652,0.8014465,0.9127419,0.0,0.0,0.49038136,0.8231444,0.72026867,0.99624836,0.4512569,0.9784634,0.23618065,0.18101032,0.58280903,set_1
-6.5231816e-09,1.3605422,0.8116336,0.918222,0.0,0.0,0.49038136,0.8231444,0.7552724,0.9964786,0.46078876,0.9784634,0.23441777,0.17927183,0.5863103,set_1
-4.096062e-08,1.40449,0.8273337,0.92683583,0.0,0.0,0.49038136,0.8231444,0.8091243,0.9961258,0.47590965,0.9784634,0.23167486,0.17655632,0.59176874,set_1
-1.9915927e-08,1.4571439,0.84620583,0.9374758,0.0,0.0,0.49038136,0.8231444,0.8737465,0.99623704,0.49478522,0.9784634,0.22840455,0.17323098,0.5983645,set_1
-7.4381745e-10,1.4757562,0.8528948,0.941326,0.0,0.0,0.49038136,0.8231444,0.8966335,0.99651384,0.50166136,0.9784634,0.22725667,0.17203638,0.60070693,set_1
4.8637285e-09,1.4834131,0.8556495,0.94292414,0.0,0.0,0.49038136,0.8231444,0.90605766,0.99646455,0.5045217,0.9784634,0.22677772,0.17154253,0.6016797,set_1
7.533391e-09,1.4921584,0.8587977,0.9447597,0.0,0.0,0.49038136,0.8231444,0.91682804,0.9963449,0.50781155,0.9784634,0.22622792,0.17097661,0.6027955,set_1
0.0,2.3172617,0.96040964,1.0012342,0.0,0.0,0.52940863,0.8231444,1.2089744,0.99614996,0.6289633,0.9784634,0.18807411,0.1602332,0.6516927,set_1
2.2325121e-08,2.343712,0.96984744,1.0084572,0.0,0.0,0.52940863,0.8231444,1.243978,0.99662006,0.6422552,0.9784634,0.18651035,0.15816861,0.65532106,set_1
-6.926455e-08,2.3837967,0.98421746,1.0197651,0.0,0.0,0.52940863,0.8231444,1.2978299,0.99618185,0.66317844,0.9784634,0.18408936,0.15497452,0.6609361,set_1
2.3774703e-07,2.4312198,1.0014973,1.0340046,0.0,0.0,0.52940863,0.8231444,1.3624521,0.99651355,0.68904513,0.9784634,0.18125139,0.1511114,0.6676372,set_1
2.3492342e-07,2.447822,1.0076363,1.0392493,0.0,0.0,0.52940863,0.8231444,1.3853393,0.9963535,0.72500855,0.9784634,0.17947938,0.14738138,0.6731393,set_1
2.1338121e-07,2.4546306,1.010171,1.0414464,0.0,0.0,0.52940863,0.8231444,1.3947632,0.9962977,0.72904056,0.9784634,0.1790635,0.14680867,0.6741278,set_1
1.9121333e-07,2.46237,1.0130552,1.0439636,0.0,0.0,0.52940863,0.8231444,1.4055337,0.99627024,0.73367107,0.9784634,0.17859161,0.14615354,0.6752548,set_1
0.0,1.9270207,0.99165314,1.0408556,0.0,0.0,0.5252333,0.8231444,1.3866855,0.9963436,0.7255834,0.9784634,0.1983045,0.14292473,0.65877074,set_1
-2.3104833e-07,1.9539355,1.0019529,1.0490911,0.0,0.0,0.5252333,0.8231444,1.4216893,0.9962787,0.74066156,0.9784634,0.19659969,0.14083603,0.6625643,set_1
-4.4840084e-07,1.9945867,1.0176406,1.062047,0.0,0.0,0.5252333,0.8231444,1.4755411,0.99630994,0.76435083,0.9784634,0.1940205,0.13760978,0.6683697,set_1
-1.2180661e-07,2.0420685,1.0361925,1.0780627,0.0,0.0,0.5252333,0.8231444,1.5401634,0.99630594,0.7935657,0.9784634,0.1909892,0.13372229,0.6752885,set_1
1.0712283e-07,2.0585234,1.0426868,1.0838603,0.0,0.0,0.5252333,0.8231444,1.5630504,0.99636286,0.8041187,0.9784634,0.18993606,0.1323422,0.6777217,set_1
1.7129075e-07,2.0652418,1.0453488,1.0862669,0.0,0.0,0.5252333,0.8231444,1.5724745,0.996368,0.80849534,0.9784634,0.1895045,0.13177358,0.6787219,set_1
1.9833247e-07,2.0728784,1.0483823,1.0890312,0.0,0.0,0.5252333,0.8231444,1.5832448,0.9963501,0.8135196,0.9784634,0.18901238,0.13112354,0.6798641,set_1
0.0,0.16770062,0.56366724,0.83327585,0.0,0.0,0.5375986,0.8231444,0.10231855,0.9963559,0.2972625,0.9784634,0.29498014,0.2029593,0.50206053,set_1
4.1349264e-08,0.19482842,0.5734099,0.83725554,0.0,0.0,0.5375986,0.8231444,0.13732225,0.99642247,0.3022601,0.9784634,0.29338273,0.20182726,0.50479,set_1
-3.204022e-08,0.23673481,0.58847076,0.84346807,0.0,0.0,0.5375986,0.8231444,0.19117412,0.99619824,0.31037092,0.9784634,0.29089147,0.20002495,0.50908357,set_1
6.817779e-08,0.28731847,0.6066684,0.85107857,0.0,0.0,0.5375986,0.8231444,0.25579634,0.9964375,0.3207792,0.9784634,0.28788415,0.19776459,0.51435125,set_1
1.3299473e-07,0.30531442,0.6131482,0.85381746,0.0,0.0,0.5375986,0.8231444,0.2786834,0.99621964,0.32464218,0.9784634,0.2867985,0.19694035,0.5162611,set_1
1.5076623e-07,0.31273696,0.61582184,0.8549521,0.0,0.0,0.5375986,0.8231444,0.28810748,0.9963214,0.32625967,0.9784634,0.28635707,0.1965967,0.5170463,set_1
1.5789836e-07,0.32122877,0.61888146,0.8562539,0.0,0.0,0.5375986,0.8231444,0.29887784,0.9965285,0.3281274,0.9784634,0.2858548,0.1962011,0.5179441,set_1
0.0,0.6987813,0.79855204,0.86626136,0.0,0.0,0.5063591,0.8231444,0.38907972,0.99612737,0.3584272,0.9784634,0.2668019,0.193287,0.5399111,set_1
8.584547e-08,0.72695726,0.808076,0.870659,0.0,0.0,0.5063591,0.8231444,0.4240834,0.99641246,0.36546797,0.9784634,0.26506674,0.1918568,0.54307646,set_1
1.3326411e-07,0.7704836,0.82279474,0.8775636,0.0,0.0,0.5063591,0.8231444,0.47793528,0.9962834,0.37673894,0.9784634,0.2623583,0.18960401,0.5480377,set_1
