Complexity,Loss,Equation
1,0.008734801,"0.29762518"
4,0.0072339145,"0.2573829 / x2"
6,0.0035002423,"(x1 * -0.12547398) + 0.41373932"
9,0.001989263,"((x1 * -0.14137596) / x3) + 0.43415147"
11,0.00045909284,"(((x0 * 0.018507874) + -0.15070476) * x1) + 0.41754565"
13,0.00044882065,"(((x0 * 0.014886509) + -0.14961301) * (x1 + 0.31215724)) + 0.46314272"
14,0.00037976136,"(((x0 * 0.01821931) + -0.14935367) * (x4 + x1)) + 0.41843382"
16,0.00024452477,"((x1 * -0.11700405) + 0.42077786) + ((x10 * -0.06020453) + (x0 * 0.04974206))"
19,0.00011724035,"((x1 * -0.12199173) + 0.42680436) + (((x0 * 0.063951306) + (x10 * -0.06149162)) / x3)"
21,0.00011337798,"((x1 * -0.12061888) + 0.42596027) + (((x0 * 0.07542991) + (x10 * -0.07598162)) / (x3 + 0.20687717))"
22,9.1024966e-5,"(((x10 * -0.06462328) + (x0 * 0.06487702)) / x3) + ((x1 * -0.12121154) + (x11 * 0.43360466))"
24,9.092342e-5,"((x1 * -0.12100542) + (x11 * 0.43343994)) + (((x0 * 0.06651224) + (x10 * -0.06670314)) / (x3 + 0.02900916))"
25,8.687919e-5,"(((x0 * 0.06459635) + (x10 * -0.06471433)) / (x3 * x11)) + ((x11 * 0.4337514) + (x1 * -0.12085833))"
27,7.805675e-5,"(((x10 * -0.06715401) + (x0 * 0.06556217)) / x3) + (((x1 * -0.039094016) + (0.14032866 * x11)) / (x5 + 0.32163453))"
30,7.787256e-5,"(((x10 * -0.06715401) + (x0 * 0.06556217)) / (x3 + x5)) + (((x1 * -0.039094016) + (0.14032866 * x11)) / (x5 + 0.32163453))"
