Complexity,Loss,Equation
1,0.004241472,"0.16706014"
4,0.002020167,"0.15436067 / x2"
6,0.0007907139,"0.33038044 / (x10 + 1.3264741)"
8,0.00062990724,"(0.9731834 / (x10 + 2.7252996)) + -0.11525473"
9,0.0003353966,"((x7 * 0.38468158) / x3) + -0.14728792"
11,0.00019721578,"(x8 * -0.046373095) + (0.6198477 / (x10 + 2.2148643))"
13,0.00017601246,"(((x8 * -0.15425317) + 1.0932201) / (x10 + 2.8656507)) + -0.09615759"
16,0.00013091823,"(((x8 * -0.15847437) + 1.0989251) / (x10 + 2.9163017)) + (x5 + -0.09492705)"
18,9.9613884e-5,"((x3 * 0.08500017) + -0.37711045) + (((x8 * -0.27684957) + 2.7649517) / (x10 + 4.6041737))"
21,9.5102565e-5,"(((x8 * -0.2357924) + 2.1700683) / (x10 + 4.090321)) + (((x3 * 0.061907057) + -0.29378456) * x11)"
24,8.9999754e-5,"(((x8 * -0.17392041) + 1.2538857) / (x10 + 3.2546358)) + (((x11 * x11) * -0.1113396) + (x5 / 0.52655244))"
26,8.999559e-5,"(((x11 * x11) * -0.1112766) + ((x5 * -0.5427853) / -0.2861464)) + (((x8 * -0.1737094) + 1.2524824) / (x10 + 3.2512205))"
27,8.2424776e-5,"(((x8 * -0.17274351) + 1.2527996) / (x10 + 3.2516937)) + (((x11 * -0.11245365) * (x11 * x11)) + (x5 / 0.5592728))"
30,7.97831e-5,"(((x8 * -0.17006396) + 1.2494665) / (x10 + 3.2596934)) + (((x11 * x11) * (x11 * -0.11178331)) + (x5 / (x2 * 0.647372)))"
