Complexity,Loss,Equation
1,0.020149253,"0.54629034"
4,0.0095955655,"x2 * 0.5283722"
6,0.0012740939,"(x1 * 0.20899752) + 0.33248723"
9,0.0011925255,"x11 + ((x1 * 0.20555307) + -0.65357304)"
11,0.000888446,"((-0.09032432 / x2) + (x1 * 0.17740734)) + 0.46227634"
13,0.0008702209,"((x1 * 0.17629354) + 0.54320365) + (-0.29717457 / (x2 + 0.7152934))"
14,0.0007839232,"(((x3 * -0.08207971) / x2) + 0.4275227) + (x1 * 0.19570997)"
16,0.0002749533,"((x1 * 0.16910203) + 0.32209864) + ((x10 * 0.09798157) + (x0 * -0.049850855))"
19,0.0002260898,"(((x1 * 0.16920574) + 0.3278157) * x11) + ((x10 * 0.09648507) + (x0 * -0.049151752))"
22,0.00021335774,"(((x11 * x11) * 0.33140165) + (x1 * 0.16738828)) + ((x10 * 0.096652016) + (x0 * -0.04921807))"
24,0.00020928695,"(((x10 * 0.014125089) + (x0 * -0.0070597557)) / (x9 + -0.85655975)) + ((x1 * 0.1667058) + (x11 * 0.3258868))"
25,0.00020633583,"(((x1 * 0.16638224) / x9) + (x11 * (x11 * 0.3311454))) + ((x10 * 0.09781511) + (x0 * -0.049597472))"
27,0.00019630993,"(((x10 * 0.014551925) + (x0 * -0.0072901165)) / (x9 + -0.8509101)) + ((x11 * (x11 * 0.33046746)) + (x1 * 0.16611215))"
