Complexity,Loss,Equation
1,0.01586624,"0.55298316"
4,0.010768566,"x2 * 0.5625185"
6,0.0019185968,"(x1 * 0.19249597) + 0.3709848"
9,0.0012434763,"x4 + ((x1 * 0.1869308) + 0.36839214)"
11,0.0012199844,"(x4 * 1.2245504) + ((x1 * 0.18568763) + 0.3678032)"
12,0.0012062619,"x4 + (((x1 * 0.18683217) + 0.36887926) * x9)"
13,0.0008726288,"(-0.07807395 / (x10 + 0.44282702)) + ((x1 * 0.14792217) + 0.50133157)"
16,0.00059633236,"((x4 + -0.058363568) / (x10 + 0.38458836)) + ((x1 * 0.15134172) + 0.47711337)"
18,0.0005830175,"((x1 * 0.15246716) + 0.47583297) + (((x4 * 1.2986451) + -0.063379586) / (x10 + 0.43094298))"
19,0.00047624425,"(((x4 + -0.02300622) * x1) / (x10 + 0.04095725)) + ((x1 * 0.1896149) + 0.40975985)"
21,0.00047555103,"((((x4 * 0.9590095) + -0.023197655) * x1) / (x10 + 0.041376203)) + ((x1 * 0.19008891) + 0.40979722)"
22,0.00042676105,"(((x1 * 0.19036888) + 0.41717297) * x11) + ((x1 * (x4 + -0.02355001)) / (x10 + 0.041765116))"
24,0.00041706773,"((((x1 * x4) * 1.3421788) + -0.05469108) / (x10 + 0.3629361)) + (((x1 * 0.14723885) + 0.4841276) * x11)"
25,0.000412793,"((((x4 * x1) * x1) + -0.05189773) / (x10 + 0.3387001)) + (((x1 * 0.14467837) + 0.4859209) * x11)"
26,0.0003911957,"((((x1 + 0.28857163) * (x4 + -0.034614075)) * 0.8101111) / (x10 + 0.12564106)) + ((x11 * (x1 * 0.18735035)) + 0.42883483)"
29,0.00038732812,"((((x4 * 1.5665932) * (x1 * x2)) + -0.05496704) / (x10 + 0.36213857)) + (((x1 * 0.2231518) + 0.7469499) * (x11 + -0.34511128))"
