Complexity,Loss,Equation
1,0.01669088,"0.5505086"
4,0.01273593,"x2 * 0.53064406"
6,0.002727049,"(x1 * 0.18357326) + 0.3619792"
8,0.0027270487,"((x1 * 0.14838365) + 0.29257676) / 0.8082853"
9,0.0025525147,"((x1 * 0.18599893) / x3) + 0.35047662"
11,0.0016928414,"(((x0 * -0.010718828) + 0.19183464) * x1) + 0.3645809"
13,0.0016035051,"(((x0 * -0.022029687) + 0.1943915) * (x1 + -0.6568369)) + 0.48924795"
14,0.001449521,"(((x0 * -0.011290177) + 0.19152088) * (x4 + x1)) + 0.36250287"
16,0.0010288724,"(((x0 + -3.1878521) * x4) * -0.23726548) + ((x1 * 0.18641283) + 0.35696504)"
19,0.00091766566,"((x1 * 0.1868005) + 0.3573887) + (((x7 * x0) + -1.8765063) * (x4 * -0.41584808))"
20,0.0008724287,"((x1 * 0.18906477) + 0.3553035) + (x4 + ((x4 * (x0 * -1.2375349)) / x10))"
23,0.00085886335,"((x1 * 0.18513529) + 0.35880622) + ((x4 * x3) + ((x0 * (x4 * -0.3256157)) / x6))"
25,0.0008127606,"(((x10 * (x4 * 0.58990663)) + ((x4 * x0) * -0.448813)) / x6) + ((x1 * 0.1835972) + 0.3600231)"
27,0.00080861937,"((((x4 * -0.3737542) * x0) + ((x10 * 0.48820177) * x4)) / (x6 + -0.1425105)) + ((x1 * 0.1837255) + 0.35997668)"
28,0.00078021956,"(((x0 * (x4 * -0.43935445)) + (x4 * (x10 * 0.5768073))) / x6) + (((x1 * 0.1845614) + 0.35913557) * x9)"
29,0.0007590607,"(((x1 * 0.18437809) + 0.35998687) * x9) + ((x7 * (x4 * x10)) + (((x0 * x4) * -0.43964562) / x6))"
