Complexity,Loss,Equation
1,0.0010858374,"0.2335381"
4,0.00020544593,"0.23349574 / x10"
6,5.9788912e-5,"(-0.14719637 / x3) + 0.3932042"
8,5.9783262e-5,"(-0.15159512 / (x3 + 0.012947192)) + 0.395607"
9,5.9553287e-5,"((x8 * -0.21816729) / x3) + 0.39323545"
11,5.3594787e-5,"((x2 * 0.03717523) + 0.17145376) + (x1 * 0.030293375)"
14,5.2986717e-5,"((x2 * 0.053607255) / x10) + ((x4 * -0.0006695343) + 0.18592861)"
16,2.9423825e-5,"(((x4 * 0.0021401506) + 0.030870013) * x9) + ((x4 * -0.001683915) + 0.20987892)"
21,2.942382e-5,"((x4 * (x9 * 0.0021400366)) + (x9 * 0.030874614)) + (((x4 * 0.0011513653) + -0.14352457) / -0.6838651)"
22,2.486393e-5,"(((x1 * 0.0017790801) * (x4 * x2)) + (x1 * 0.038761683)) + ((x4 * -0.0012715318) + 0.2018552)"
25,2.461373e-5,"(((x1 * 0.0022460937) * (x4 * x2)) + (x1 * 0.038425755)) + ((x4 * (x3 * -0.0018385706)) + 0.20221694)"
27,2.4613722e-5,"((((x4 * x3) * -0.001847026) + 0.20315763) + ((x1 * 0.03860593) + ((x4 * x2) * (x1 * 0.0022565261)))) / 1.0046608"
28,2.4501904e-5,"(((x3 * -0.0014971802) * (x10 * x4)) + 0.20192283) + (((x4 * x2) * (x1 * 0.0019418254)) + (x1 * 0.038685944))"
