Complexity,Loss,Equation
1,0.019431135,"0.6086743"
4,0.016820244,"x4 + 0.5900745"
6,0.00903603,"(x1 * 0.16952914) + 0.4231435"
9,0.008032201,"(x4 + (x1 * 0.1558739)) + 0.41948912"
11,0.0074942396,"(x5 * -10.071286) + ((x1 * 0.1668584) + 0.44761148)"
12,0.0073212157,"(x4 / x2) + ((x1 * 0.15944248) + 0.41756374)"
14,0.006927515,"(x4 / (x2 + -0.34450832)) + ((x1 * 0.15574148) + 0.41260248)"
15,0.0067870654,"((x4 / (x6 * x2)) + (x1 * 0.15826714)) + 0.41450593"
16,0.006722545,"((x1 * 0.15861458) + 0.41408485) + ((x4 * (x7 + -0.4986342)) / 0.14858545)"
17,0.0063680797,"((x1 * 0.1538515) + 0.44056937) + ((x4 + (x5 * -6.600703)) / x2)"
18,0.006076364,"((x1 * x4) / (x2 * x2)) + ((x1 * 0.15121388) + 0.42267787)"
19,0.0052386015,"(((x7 + -0.5223917) * (x8 * x4)) / 0.092171535) + ((x1 * 0.1521464) + 0.41913426)"
21,0.0051813647,"((((x8 + -0.15917854) * (x7 + -0.5253891)) * x4) / 0.077064894) + ((x1 * 0.15195732) + 0.42089304)"
22,0.0046815095,"(((x7 + -0.5184734) * (x8 * x4)) / 0.08570062) + (((x1 * x1) * 0.06194677) + 0.4865481)"
24,0.0046498394,"((((x8 + -0.12384759) * (x7 + -0.5213128)) * x4) / 0.07470497) + (((x1 * 0.061901543) * x1) + 0.4879873)"
27,0.0045982236,"((((x7 + -0.51333183) * (x8 + 0.0019221095)) * x4) / 0.08969709) + (((x1 * x1) * 0.0618408) + (x9 * 0.48785016))"
