Complexity,Loss,Equation
1,0.009043376,"0.2659758"
4,0.007941156,"0.2350057 / x2"
6,0.0034673612,"(x1 * -0.11532097) + 0.38370183"
9,0.0018595427,"((x1 * -0.13212158) / x3) + 0.4070441"
11,0.000266022,"(x1 * -0.12393463) + ((x0 * 0.023120029) + 0.37211964)"
13,0.00026601314,"((x0 * 0.02311335) + -79.33756) + ((x1 * -0.12394103) + 79.70969)"
14,0.00021523231,"(((x0 * 0.039569788) / x3) + (x1 * -0.12697965)) + 0.37231144"
16,0.00015068246,"(((x10 * -0.0030689575) + 0.038847007) * x0) + ((x1 * -0.12634163) + 0.37220025)"
17,0.00014185841,"(x1 * -0.12699951) + (((x0 * (x8 * 0.06813824)) / x10) + 0.37304488)"
18,0.00012734909,"(((x0 * 0.26373667) + 0.51304615) / (x10 + 4.3007517)) + ((x1 * -0.11693221) + 0.25588244)"
19,0.00011530814,"((x0 * 0.03990632) + (x10 * (x10 * -0.006326224))) + ((x1 * -0.12320099) + 0.37224075)"
20,0.00010873159,"(((x8 * (x0 * 0.07056759)) / x10) + 0.37356603) + ((x4 + x1) * -0.12600267)"
22,9.8415985e-5,"((((x8 * x0) * 0.072212115) / x10) + 0.37224987) + (((x4 * -0.14243208) + -0.12417231) * x1)"
24,9.522934e-5,"((((x4 * -0.41596422) + (x0 * 0.067494705)) * x8) / (x10 + -0.2223495)) + ((x1 * -0.12507115) + 0.37338695)"
25,9.4778996e-5,"((((x4 * -0.49202216) + (x0 * 0.07206679)) * x8) / (x10 * x9)) + (0.3734238 + (x1 * -0.12491314))"
27,9.4274365e-5,"((((x4 * -0.40672448) + (x0 * 0.06818078)) * (x8 * x11)) / (x10 + -0.21643698)) + ((x1 * -0.1252832) + 0.3735492)"
28,9.3630006e-5,"((((x4 * x1) * (x1 * -0.16909319)) + ((x0 * 0.069958985) * x8)) / x10) + ((x1 * -0.12411613) + 0.3726096)"
30,8.729439e-5,"((x1 * -0.124074616) + 0.3721024) + ((((x1 * -0.3004329) * (x4 * x8)) + (x0 * (x8 * 0.06512032))) / (x10 + -0.3795192))"
