Complexity,Loss,Equation
1,0.0041830484,"0.22561425"
4,0.0017069998,"x3 * 0.23726928"
6,0.00041174056,"(x2 * 0.14522678) + 0.08887008"
8,0.00031399692,"(-0.71898675 / (x2 + 1.5305775)) + 0.5269636"
9,9.2553535e-5,"((x2 * 0.20509131) + 0.03161772) / x3"
11,2.5425326e-5,"(x3 * -0.30511647) + ((x2 * 0.2668393) + 0.2663159)"
13,2.5425179e-5,"((x3 * -0.3051343) + -2.6790826) + ((x2 * 0.2668441) + 2.9454098)"
14,2.3666144e-5,"((x2 * 0.24427325) + 0.12381534) + ((x3 * -0.13521814) * x3)"
16,2.362071e-5,"((x2 * 0.24742152) + 0.14328423) + (((x3 + 0.35613912) * -0.11687198) * x3)"
17,2.3610504e-5,"(x2 * 0.24426274) + ((((x3 * -0.09124432) * x3) + 0.08355595) / x8)"
19,2.0849851e-5,"((0.001366418 / x2) + (x2 * 0.25541443)) + ((x3 * (x3 * -0.14111753)) + 0.11617199)"
21,2.0849848e-5,"((x2 * 0.25541627) + (0.00027423605 / (x2 * 0.20069706))) + (((x3 * x3) * -0.14112034) + 0.116172954)"
22,2.0637253e-5,"((x2 * 0.25551537) + (0.00015425369 / (x2 * x7))) + (((x3 * -0.1411853) * x3) + 0.1161301)"
25,2.0637252e-5,"(((x2 * 0.25551528) * x11) + (0.00015425256 / (x7 * x2))) + (((x3 * x3) * -0.14118527) + 0.11613016)"
28,2.0637248e-5,"(((x3 * x3) * -0.14118527) + (x11 * 0.11613016)) + (((x2 * 0.25551528) * x11) + (0.00015425256 / (x7 * x2)))"
