Complexity,Loss,Equation
1,0.013829693,"0.55733407"
4,0.0109161455,"x2 * 0.54470843"
6,0.0010115734,"(x1 * 0.17711818) + 0.3863004"
8,0.0010115732,"((x1 * -0.55176884) + -1.2034271) / -3.1152794"
9,0.0009630961,"((x4 + x1) * 0.17442432) + 0.3856565"
11,0.0007882271,"(-0.06875052 / x2) + (0.48657903 + (x1 * 0.15216091))"
14,0.000748263,"(0.50158495 / x11) + ((-0.08431446 / x2) + (x1 * 0.14786483))"
16,0.00019687631,"((x10 * 0.08923815) + 0.3749465) + ((x0 * -0.045409646) + (x1 * 0.14082153))"
18,0.00019687628,"(((x0 * -0.09764673) / 2.1503584) + (x1 * 0.14082529)) + ((x10 * 0.089237526) + 0.37494484)"
19,0.00018547957,"((x0 * -0.046739735) + (x1 * 0.13860168)) + (((x10 * 0.092996955) / x9) + 0.37487206)"
22,0.00018498549,"((x10 * 0.09003452) + (x11 * 0.38004383)) + (((x0 * -0.04542383) + (x1 * 0.1384781)) / x11)"
25,0.00017916298,"((x10 * 0.092317946) + (x11 * 0.37991595)) + (((x1 * 0.13723935) / x11) + (x0 * (x9 * -0.04656371)))"
28,0.0001761145,"((x10 * 0.09329715) + (x11 * 0.37917876)) + (((x1 * 0.13580452) / (x11 * x11)) + ((x0 * x9) * -0.046965167))"
