Complexity,Loss,Equation
1,0.0017808495,"0.4761585"
4,0.0016758816,"x11 + -0.5134266"
6,0.000926222,"-4.0312033 / (x8 + -9.49515)"
8,0.0009262217,"(-3.9440088 / (x8 + -9.406709)) + 0.005357161"
9,0.00066722697,"(x8 + 5.534899) / (x1 + 12.960144)"
11,0.00066000456,"((x8 / 13.401953) + (x1 * -0.032332357)) + 0.42639136"
12,0.00061055645,"(x11 * (x8 + 5.6081705)) / (x1 + 12.969602)"
14,0.0006013269,"(((x1 * -0.060295798) + x11) * (x8 + 5.803823)) / 13.4593115"
16,0.00057671743,"((x8 * 0.07346247) + 0.5003858) + ((x7 * -0.09780126) + (x1 * -0.033196952))"
19,0.0005435319,"(((x7 * x8) * 0.09967101) + 0.54524904) + (((x1 + 3.5244348) * x7) * -0.044952597)"
22,0.00054199965,"(((x9 * 3.5056226) + x1) * (x7 * -0.044919483)) + (((x8 * 0.099900715) * x7) + 0.54422104)"
24,0.0005419995,"(((x1 + (x9 * 3.5056243)) * (x7 * -0.045325186)) / 1.0089046) + (((x7 * x8) * 0.09990453) + 0.5442364)"
25,0.00054053124,"(((x8 * 0.09970398) * (x9 * x7)) + 0.5459044) + (((x9 * 3.5665371) + x1) * (x7 * -0.044750813))"
28,0.0005400901,"(((x9 * 3.6020484) + (x11 * x1)) * (x7 * -0.04519537)) + (((x8 * 0.09973866) * (x7 * x9)) + 0.54819095)"
