Complexity,Loss,Equation
1,0.00019894316,"0.007568401"
4,0.0001490635,"x10 * 0.006524942"
6,0.00014766217,"(x10 * 0.005896604) + 0.0015476296"
7,0.00013522351,"x10 * (x1 * 0.00615981)"
9,0.000121368874,"(x2 * 0.0033758678) * (x0 + 1.9931644)"
11,0.000111914975,"(((x0 * -0.0016643564) + 0.015686812) * x0) + 0.011305016"
12,0.000107161984,"(((x0 + 1.9851497) * x2) * 0.0022605977) * x2"
13,0.00010669167,"(((x2 * 0.009297731) + -0.009360557) * (x0 + 1.2017902)) + 0.0055157337"
14,7.8622885e-5,"(((x0 * -0.0021758738) + 0.018960012) * x0) + (x2 * 0.01119339)"
16,7.3435185e-5,"((x10 * 0.0065645278) + 0.0059232563) + ((x0 + -7.411947) * (x0 * -0.002227468))"
17,6.6565204e-5,"((x6 + x10) * 0.007276884) + ((x0 + -7.2398715) * (x0 * -0.0023349244))"
19,5.5476048e-5,"(((x10 + 0.8907824) * 0.004991915) + ((x0 + -7.5579486) * (x0 * -0.001677237))) / x7"
20,5.016768e-5,"(((x0 + -7.4348283) * (x0 * -0.0017593221)) + ((x6 + x10) * 0.0053525316)) / x7"
21,4.147698e-5,"((((x0 + -7.610121) * x0) * -0.00071420753) + ((x10 + 0.85942096) * 0.0021334589)) / (x7 + -0.39172253)"
22,4.0141866e-5,"(((x10 + x6) * 0.0023765627) + ((x0 + -7.5893583) * (x0 * -0.0008085214))) / (x7 + -0.36771885)"
24,3.829469e-5,"(((x0 + -7.4968567) * (x0 * -0.0011735341)) + (((x6 * x10) * 0.003441579) + 0.00304711)) / (x7 + -0.29206425)"
25,3.824208e-5,"((((x0 + -7.411343) * -0.0011405495) * x0) + (((x6 * x10) + x7) * 0.0036382473)) / (x7 + -0.3061509)"
27,2.94458e-5,"((((x0 + 0.3304799) * (x0 + -4.7985196)) * -0.0025483014) + ((x6 + (x0 * 0.20670876)) * (x10 * 0.007208146))) / x7"
29,2.6095546e-5,"((((x0 * 0.25567618) + x6) * (x10 * 0.0044536265)) + (((x0 + -4.294929) * (x0 + 0.33700472)) * -0.0016669335)) / (x7 + -0.2549655)"
