,process,t,G,P,X,V_N
0,exp1,0.0,0.0,0.0,3.04,0.5019444512095219
1,exp1,4.0,0.0,0.16995938534248256,17.8,0.5658970528017038
2,exp1,15.0,0.0,1.371793630436006,34.7999999999999,0.7216991655937983
3,exp1,19.0,0.0,1.8226395431352092,38.2,0.7748093904776772
4,exp1,23.0,0.0,2.1273288193344513,40.6,0.8280300740987299
5,exp1,27.0,0.0,2.3767743309236375,42.1,0.8826251150644173
6,exp1,31.0,0.0,2.441784077084671,42.99999999999991,0.9398584119822014
7,exp2,0.0,0.0,0.0,3.04,0.5010280378161264
8,exp2,4.0,0.0,0.16746815583245686,18.2,0.5665055491539699
9,exp2,15.0,0.0,1.3331444614034258,35.7000000000001,0.727905204825711
10,exp2,19.0,0.0,1.8279689450233099,39.0000000000001,0.7804337694112686
11,exp2,23.0,0.0,2.028565525917099,40.8,0.8300088880592584
12,exp2,27.0,0.0,2.401540457665636,39.2999999999999,0.8768409214137676
13,exp2,31.0,0.0,2.5695385324361695,36.8000000000002,0.9211402301188841
14,exp3,0.0,0.0,0.0,3.04,0.5010280378161256
15,exp3,4.0,0.0,0.22751061633168992,18.1,0.56650554915397
16,exp3,15.0,0.0,1.6161059979044075,36.5,0.7279052048257104
17,exp3,19.0,0.0,2.0120487454648455,38.8000000000002,0.7804337694112677
18,exp3,23.0,0.0,2.3099738009647135,40.6,0.8300088880592574
19,exp3,27.0,0.0,2.5588899499522446,40.7,0.8768409214137671
20,exp3,31.0,0.0,2.7153285827886364,39.0999999999999,0.9211402301188851
21,exp4,0.0,0.0,0.0,3.04,0.5010280378161255
22,exp4,4.0,0.0,0.24002567538394215,18.3000000000002,0.5665055491539719
23,exp4,15.0,0.0,1.56612919186876,36.7999999999999,0.7279052048257121
24,exp4,19.0,0.0,2.148200142558948,39.4000000000001,0.7804337694112684
25,exp4,23.0,0.0,2.4970854757547154,40.7,0.8300088880592571
26,exp4,27.0,0.0,2.6698622595984696,40.7000000000002,0.8768409214137665
27,exp4,31.0,0.0,2.8911901507728315,38.6,0.9211402301188846
28,exp5,0.0,0.0,0.0,3.04,0.5013187530271608
29,exp5,4.0,0.0,0.2267090774230839,17.3999999999999,0.5675915460478548
30,exp5,15.0,0.0,1.479799635759027,35.7000000000001,0.7287979477397771
31,exp5,19.0,0.0,2.1362714432460685,39.1000000000001,0.7810715255780295
32,exp5,23.0,0.0,2.254312132997244,41.3999999999999,0.8306562605249426
33,exp5,27.0,0.0,2.4418298450556972,44.0,0.8779918499099105
34,exp5,31.0,0.0,2.532170108225698,44.8,0.9235179910623277
35,exp6,0.0,0.0,0.0,3.04,0.5013187530271613
36,exp6,4.0,0.0,0.22554037683153294,18.0,0.5675915460478559
37,exp6,15.0,0.0,1.5029334735344295,35.4999999999999,0.7287979477397768
38,exp6,19.0,0.0,1.9869456077229408,39.2000000000001,0.7810715255780286
39,exp6,23.0,0.0,2.317763685032131,41.6000000000001,0.8306562605249417
40,exp6,27.0,0.0,2.5133666755252033,43.7999999999998,0.8779918499099103
41,exp6,31.0,0.0,2.608988801679257,44.8999999999999,0.9235179910623295
42,exp7,0.0,0.0,0.0,3.04,0.5012571700723294
43,exp7,4.0,0.0,0.22952320183199965,18.0,0.5646519404726636
44,exp7,15.0,0.0,1.6489373230274635,36.0,0.7229641925145729
45,exp7,19.0,0.0,1.7043620845008993,39.6000000000001,0.7750292192811647
46,exp7,23.0,0.0,2.051637356707963,41.0000000000002,0.8243318721697344
47,exp7,27.0,0.0,2.406185389715999,42.7,0.8709811579554291
48,exp7,31.0,0.0,2.69443496255294,37.799999999999805,0.9150860834133966
49,exp8,0.0,0.0,0.0,3.04,0.5013270306511209
50,exp8,4.0,0.0,0.2664359519819996,18.3,0.5669918932413065
51,exp8,15.0,0.0,1.7457391834159914,36.3,0.7257737988335364
52,exp8,19.0,0.0,2.1251900615300565,40.8,0.7777369534650491
53,exp8,23.0,0.0,2.184301423619773,41.8999999999998,0.8277665334676438
54,exp8,27.0,0.0,2.6071281003000024,42.5,0.8765868395402932
55,exp8,31.0,0.0,2.785932867422224,37.20000000000011,0.9249221723819707
56,exp9,0.0,0.0,0.0,3.04,0.5012571700723285
57,exp9,4.0,0.0,0.2752073783348241,15.9999999999998,0.5646519404726622
58,exp9,15.0,0.0,1.6397619867939512,34.2,0.722964192514572
59,exp9,19.0,0.0,2.1313373105965887,37.09999999999991,0.7750292192811643
60,exp9,23.0,0.0,2.309303756072439,38.9999999999999,0.8243318721697346
61,exp9,27.0,0.0,2.6896128801241597,38.9999999999999,0.8709811579554301
62,exp9,31.0,0.0,3.071455160394378,36.99999999999991,0.9150860834133983
