,process,t,Cf_N,G_Cf,V_N,CF_N
0,exp1,0.0,0.01667212041210146,339.9,0.5019444512095219,0.0019444512095218329
1,exp1,1.55,0.016124953043085036,339.9,0.5273560547513189,0.027356054751318894
2,exp1,3.1,0.015625231242887772,339.9,0.5519563191869753,0.05195631918697534
3,exp1,4.65,0.015172955011509668,339.9,0.575818785148161,0.0758187851481609
4,exp1,6.2,0.014768124348950721,339.9,0.5990169932665452,0.0990169932665452
5,exp1,7.75,0.014410739255210933,339.9,0.6216244841737981,0.12162448417379802
6,exp1,9.3,0.014100799730290305,339.9,0.643714798501589,0.143714798501589
7,exp1,10.85,0.013838305774188835,339.9,0.6653614768815878,0.16536147688158784
8,exp1,12.4,0.013623257386906527,339.9,0.6866380599454643,0.1866380599454643
9,exp1,13.950000000000001,0.013455654568443373,339.9,0.7076180883248878,0.20761808832488796
10,exp1,15.5,0.013335497318799381,339.9,0.7283751026515286,0.22837510265152863
11,exp1,17.05,0.013262785637974547,339.9,0.748982643557056,0.24898264355705596
12,exp1,18.6,0.013237519525968872,339.9,0.7695142516731397,0.2695142516731397
13,exp1,20.150000000000002,0.013259698982782356,339.9,0.7900434676314494,0.2900434676314494
14,exp1,21.7,0.013329324008414998,339.9,0.8106438320636549,0.3106438320636548
15,exp1,23.25,0.013446394602866799,339.9,0.8313888856014258,0.33138888560142576
16,exp1,24.8,0.013610910766137758,339.9,0.8523521688764317,0.3523521688764318
17,exp1,26.35,0.013822872498227877,339.9,0.8736072225203426,0.3736072225203427
18,exp1,27.900000000000002,0.014082279799137155,339.9,0.8952275871648281,0.39522758716482814
19,exp1,29.45,0.014389132668865594,339.9,0.9172868034415578,0.4172868034415578
20,exp1,31.0,0.014743431107413189,339.9,0.9398584119822014,0.4398584119822014
21,exp2,0.0,0.016854695182246974,339.9,0.5010280378161264,0.001028037816126168
22,exp2,1.55,0.016475729712597083,339.9,0.5268580971138705,0.026858097113870542
23,exp2,3.1,0.016104660984313138,339.9,0.5521068799082164,0.05210687990821619
24,exp2,4.65,0.01574148899739514,339.9,0.5767866261482806,0.07678662614828034
25,exp2,6.2,0.015386213751843089,339.9,0.6009095757831803,0.1009095757831802
26,exp2,7.75,0.015038835247656984,339.9,0.6244879687620332,0.12448796876203298
27,exp2,9.3,0.014699353484836825,339.9,0.6475340450339561,0.14753404503395592
28,exp2,10.85,0.014367768463382613,339.9,0.6700600445480662,0.1700600445480662
29,exp2,12.4,0.014044080183294352,339.9,0.6920782072534813,0.19207820725348113
30,exp2,13.950000000000001,0.013728288644572033,339.9,0.7136007730993176,0.21360077309931774
31,exp2,15.5,0.013420393847215663,339.9,0.7346399820346936,0.2346399820346935
32,exp2,17.05,0.013120395791225242,339.9,0.7552080740087255,0.2552080740087254
33,exp2,18.6,0.012828294476600763,339.9,0.7753172889705309,0.2753172889705308
34,exp2,20.150000000000002,0.012544089903342232,339.9,0.794979866869227,0.29497986686922684
35,exp2,21.7,0.012267782071449648,339.9,0.8142080476539308,0.31420804765393073
36,exp2,23.25,0.011999370980923012,339.9,0.8330140712737599,0.3330140712737598
37,exp2,24.8,0.011738856631762322,339.9,0.8514101776778311,0.3514101776778312
38,exp2,26.35,0.011486239023967578,339.9,0.869408606815262,0.3694086068152621
39,exp2,27.900000000000002,0.011241518157538783,339.9,0.8870215986351697,0.3870215986351698
40,exp2,29.45,0.011004694032475934,339.9,0.9042613930866713,0.4042613930866714
41,exp2,31.0,0.010775766648779031,339.9,0.9211402301188841,0.42114023011888424
42,exp3,0.0,0.01685469518224727,339.9,0.5010280378161256,0.0010280378161255561
43,exp3,1.55,0.01647572971259729,339.9,0.5268580971138703,0.026858097113870324
44,exp3,3.1,0.01610466098431327,339.9,0.5521068799082163,0.05210687990821623
45,exp3,4.65,0.015741488997395206,339.9,0.5767866261482807,0.07678662614828054
46,exp3,6.2,0.015386213751843097,339.9,0.6009095757831805,0.10090957578318045
47,exp3,7.75,0.015038835247656947,339.9,0.6244879687620334,0.1244879687620332
48,exp3,9.3,0.014699353484836752,339.9,0.6475340450339562,0.14753404503395606
49,exp3,10.85,0.014367768463382514,339.9,0.6700600445480662,0.1700600445480662
50,exp3,12.4,0.014044080183294236,339.9,0.6920782072534811,0.19207820725348096
51,exp3,13.950000000000001,0.013728288644571911,339.9,0.7136007730993174,0.2136007730993174
52,exp3,15.5,0.013420393847215547,339.9,0.734639982034693,0.23463998203469294
53,exp3,17.05,0.013120395791225137,339.9,0.7552080740087248,0.25520807400872475
54,exp3,18.6,0.012828294476600685,339.9,0.77531728897053,0.27531728897053
55,exp3,20.150000000000002,0.012544089903342187,339.9,0.794979866869226,0.29497986686922595
56,exp3,21.7,0.01226778207144965,339.9,0.8142080476539297,0.3142080476539298
57,exp3,23.25,0.011999370980923069,339.9,0.8330140712737588,0.3330140712737589
58,exp3,24.8,0.011738856631762443,339.9,0.8514101776778302,0.35141017767783034
59,exp3,26.35,0.011486239023967774,339.9,0.8694086068152614,0.36940860681526155
60,exp3,27.900000000000002,0.011241518157539064,339.9,0.8870215986351695,0.3870215986351696
61,exp3,29.45,0.011004694032476312,339.9,0.9042613930866716,0.4042613930866717
62,exp3,31.0,0.010775766648779514,339.9,0.9211402301188851,0.42114023011888524
63,exp4,0.0,0.01685469518224798,339.9,0.5010280378161255,0.0010280378161253523
64,exp4,1.55,0.016475729712597843,339.9,0.5268580971138712,0.026858097113871087
65,exp4,3.1,0.016104660984313676,339.9,0.5521068799082177,0.052106879908217746
66,exp4,4.65,0.015741488997395484,339.9,0.5767866261482827,0.07678662614828258
67,exp4,6.2,0.01538621375184326,339.9,0.6009095757831828,0.10090957578318281
68,exp4,7.75,0.015038835247657006,339.9,0.6244879687620358,0.12448796876203574
69,exp4,9.3,0.014699353484836725,339.9,0.6475340450339586,0.14753404503395862
70,exp4,10.85,0.01436776846338241,339.9,0.6700600445480686,0.17006004454806867
71,exp4,12.4,0.014044080183294073,339.9,0.6920782072534833,0.1920782072534832
