,process,discrete_steps
0,exp1,0.0
1,exp2,0.0
2,exp3,0.0
3,exp4,0.0
4,exp5,0.0
5,exp6,0.0
6,exp7,0.0
7,exp8,0.0
8,exp9,0.0
