Complexity,Loss,Equation
1,0.004015371,"0.1534243"
4,0.0020652777,"0.14384498 / x2"
6,0.0012286968,"0.29396108 / (x10 + 1.227053)"
8,0.001182035,"(0.50101656 / (x10 + 1.7655708)) + -0.048102945"
9,0.0011487976,"((x3 + x2) * -0.11594172) + 0.38269407"
11,0.00038476058,"((x8 * -0.123840764) + 0.45285544) / (x10 + 1.4867386)"
13,0.00038045543,"(((x8 * -0.13471533) + 0.52940434) / (x10 + 1.6803153)) + -0.014410838"
14,0.00031702212,"x5 + (((x8 * -0.123982266) + 0.44857746) / (x10 + 1.4796643))"
16,0.0002073924,"(((x8 * -0.11085084) + (x1 * 0.055398382)) + 0.28450868) / (x10 + 0.8652357)"
17,0.00019610522,"(((x1 * 0.051672705) + 0.31747073) + (x8 * -0.11880261)) / (x10 + x11)"
19,0.00016501032,"((x1 * (x7 * 0.07791942)) + ((x8 * -0.10940786) + 0.2786126)) / (x10 + 0.8482923)"
20,0.00016152639,"(((x8 * -0.118496686) + 0.31749317) + (x1 * (x5 + 0.049154617))) / (x10 + x11)"
21,0.00013722727,"((x1 * 0.056471024) + (((x8 * -0.08727286) + 0.22408974) * (x7 + 0.5461487))) / (x10 + 0.8877884)"
22,0.00012296956,"(((x8 * -0.11593649) + 0.31271023) + ((x5 * 3.9170752) + (x1 * 0.046258047))) / (x10 + x11)"
23,0.00012026684,"(((x7 + x1) * (x5 + 0.05035959)) + ((x8 * -0.11891077) + 0.27818018)) / (x10 + x11)"
24,9.608918e-5,"((((x7 * 2.7360098) + x1) * (x5 + 0.049123608)) + ((x8 * -0.11346628) + 0.20005389)) / (x10 + 0.9379201)"
26,8.0777354e-5,"((((x8 * -0.07874793) + 0.2065297) * (x7 + 0.69325477)) + ((x5 * 3.475222) + (x1 * 0.05040063))) / (x10 + 0.9321961)"
29,8.006471e-5,"((((x8 * -0.082018636) + 0.21549653) * (x7 + 0.6468034)) + (((x5 * 3.5501635) + (x1 * 0.05067373)) * x11)) / (x10 + 0.94290787)"
