Complexity,Loss,Equation
1,0.0074932394,"0.26668397"
4,0.0049719857,"0.23741035 / x2"
6,0.0016524092,"(x1 * -0.11886178) + 0.38302708"
9,0.000980839,"((x1 * -0.12561171) / x3) + 0.39539868"
11,0.0005619501,"((x1 * -0.12608793) + (x0 * 0.012863687)) + 0.37818348"
13,0.0005619274,"((x1 * -0.12609321) + 272.3475) + ((x0 * 0.012864476) + -271.96933)"
14,0.00042627455,"((x1 * -0.13226084) + 0.37152457) + ((x0 + x8) * 0.012832154)"
16,0.00029963406,"((x1 * -0.14471862) + 0.35765293) + ((x0 * 0.010734559) + (x8 * 0.041067112))"
17,0.00026987604,"((x1 * -0.13855794) + 0.3609054) + (((x8 + x0) * 0.024881534) / x3)"
19,0.00017786789,"((x8 * 0.049698513) + ((x0 * 0.04880648) / x10)) + ((x1 * -0.15155295) + 0.35250303)"
22,0.0001603751,"(((x0 * 0.04931648) / x10) + (x8 * 0.05012432)) + ((x11 * 0.35751525) + (x1 * -0.15358905))"
25,0.00014957225,"((x8 * 0.051623378) + ((x0 * 0.05374473) / (x2 * x10))) + ((x11 * 0.35643718) + (x1 * -0.15346365))"
28,0.00014714399,"((x8 * 0.05158371) + ((x11 * (x0 * 0.054614622)) / (x2 * x10))) + ((x11 * 0.3564786) + (x1 * -0.15351336))"
