Complexity,Loss,Equation
1,0.00385255,"0.15824994"
4,0.0018150267,"0.1438107 / x3"
6,0.0009943018,"0.31789532 / (x10 + 1.3620743)"
8,0.0009192382,"(0.7050675 / (x10 + 2.331994)) + -0.07423741"
9,0.0005492485,"((x7 * 0.3518501) / x3) + -0.12977251"
11,0.00015686514,"((x8 * -0.13047604) + 0.49296618) / (x10 + 1.673387)"
13,0.0001273342,"(((x8 * -0.17177707) + 0.7937551) / (x10 + 2.3933623)) + -0.045562316"
16,9.1520196e-5,"(((x8 * -0.122016646) + (x1 * 0.042161316)) + 0.3663278) / (x10 + 1.2016896)"
18,8.164568e-5,"((x5 / 0.30151573) + -0.05247581) + (((x8 * -0.20279841) + 0.9302908) / (x10 + 2.8342948))"
19,7.8088306e-5,"((x8 * (x5 + -0.12559456)) + ((x1 * 0.04224331) + 0.37238276)) / (x10 + 1.2254505)"
21,5.4949927e-5,"((x1 * 0.022579601) / (x10 + 0.22099596)) + (((x8 * -0.155821) + 0.4349985) / (x10 + 1.5093701))"
23,4.9429644e-5,"(((x1 * 0.01764461) + -0.0058656516) / (x10 + 0.16451219)) + (((x8 * -0.13168924) + 0.40596336) / (x10 + 1.2833662))"
24,4.7417227e-5,"(((x8 * -0.1511984) + 0.43714452) / (x10 + 1.5227481)) + ((x5 + (x1 * 0.023116227)) / (x10 + 0.36542717))"
26,4.5102595e-5,"(((x8 * -0.12943459) + 0.40776622) / (x10 + 1.2816696)) + ((((x1 * x7) * 0.022741918) + -0.0065127416) / (x10 + 0.1642492))"
27,4.458127e-5,"(((x8 * -0.15012218) + 0.43726492) / (x10 + 1.5225029)) + (((x5 + (x1 * 0.0313765)) * x7) / (x10 + 0.36544076))"
30,4.3643468e-5,"(((x5 + (x1 * 0.032047093)) * (x11 * x7)) / (x10 + 0.3583157)) + (((x8 * -0.14978178) + 0.43447217) / (x10 + 1.5121466))"
