Complexity,Loss,Equation
1,0.011113891,"0.5717233"
4,0.009315057,"x4 + 0.55314666"
6,0.0023198957,"(x1 * 0.15809572) + 0.42414844"
9,0.0013353368,"(x1 + 1.7646637) / (x8 + 3.7290523)"
11,0.0010959852,"((x1 + 1.1325758) / (x8 + 3.866493)) + 0.14947116"
12,0.0010700923,"((x7 + x1) / (x8 + 3.717746)) + 0.22126251"
13,0.001061866,"(((x1 * 0.6326888) + 0.27629036) / (x8 + 2.0777085)) + 0.29397443"
14,0.00094200525,"((x1 + 1.2002811) / (x8 + 3.4050767)) + (0.059750244 / x6)"
15,0.0008036251,"((x2 * x7) + (x1 + 1.7124774)) / (x8 + 4.877736)"
17,0.00068434566,"((x1 + 1.578242) / (x8 + 4.1592693)) + ((x2 * 0.06056557) / x6)"
19,0.0006368775,"((x2 * 0.07732839) / x6) + (((x1 + 1.4464606) * 0.817214) / (x8 + 3.2107182))"
20,0.0005598973,"(((x6 * -0.5215248) + (x7 * x2)) + (x1 + 1.8158606)) / (x8 + 4.4061403)"
23,0.0005582396,"(((x6 * -0.50236416) + (x7 * x2)) + ((x9 * x1) + 1.804863)) / (x8 + 4.409114)"
24,0.00047406825,"(((x1 * 0.565768) + 0.46643692) / (x8 + 2.0409658)) + (((x7 * 0.102463104) / x6) + (x2 * 0.13106851))"
27,0.0004690939,"(((x9 * (x1 * 0.5768991)) + 0.48877564) / (x8 + 2.102877)) + ((x2 * 0.1298029) + ((x7 * 0.10016942) / x6))"
29,0.00046909062,"(((x2 * 0.08175293) / 0.6293656) + ((x7 * 0.100214995) / x6)) + (((x9 * (x1 * 0.57638)) + 0.48795885) / (x8 + 2.1003196))"
30,0.00046863442,"((((x9 * x1) * 0.5747221) + 0.4912593) / (x8 + 2.1031578)) + ((x2 * 0.1315716) + ((x7 * 0.097090356) / (x11 * x6)))"
