Complexity,Loss,Equation
1,0.0037223815,"0.14334792"
4,0.0019005606,"0.13209957 / x2"
6,0.0010416706,"0.2641086 / (x10 + 1.2073774)"
8,0.0009688518,"(0.56030893 / (x10 + 2.0117278)) + -0.064476684"
9,0.00067775795,"((x7 * 0.3390826) / x3) + -0.13371287"
11,0.00020960954,"((x8 * -0.115999915) + 0.40687382) / (x10 + 1.4315639)"
13,0.00019004263,"(((x8 * -0.14194041) + 0.5821339) / (x10 + 1.8872858)) + -0.03160203"
14,0.00014599013,"x5 + (((x8 * -0.11804206) + 0.40733168) / (x10 + 1.4514875))"
16,9.9955774e-5,"((x5 * 5.1910057) + ((x8 * -0.121337995) + 0.40976873)) / (x10 + 1.5029051)"
17,9.222502e-5,"((x8 * -0.10952793) + ((x1 * 0.04711615) + 0.29219335)) / (x11 + x10)"
18,9.084542e-5,"((x5 + -0.009122495) * 2.6722274) + (((x8 * -0.14452928) + 0.5491137) / (x10 + 1.8742368))"
19,7.41924e-5,"(((x8 * -0.10668935) + 0.28193957) + ((x1 * 0.046185225) + x5)) / (x10 + 0.95685244)"
20,6.5344015e-5,"(((x1 * 0.0454469) + x5) + ((x8 * -0.108628646) + 0.28973562)) / (x11 + x10)"
21,5.3730608e-5,"(((x8 * -0.11287047) + 0.31075037) + (((x1 * 0.012104475) + x5) * 3.140655)) / (x10 + 1.0930903)"
22,5.1408115e-5,"(((x8 * -0.10736259) + 0.28627974) + (((x1 * 0.017906632) + x5) * 2.4066873)) / (x11 + x10)"
24,4.9463204e-5,"(((x8 * -0.111575365) + 0.30317214) + (((x5 * 2.9998372) + (x1 * 0.05736143)) * x7)) / (x10 + 1.0593351)"
25,4.887109e-5,"((((x1 * 0.021246713) + x5) * (x7 + 1.3599852)) + ((x8 * -0.10780962) + 0.28645974)) / (x10 + x11)"
