Complexity,Loss,Equation
1,0.010022854,"0.60082275"
4,0.00743626,"x4 + 0.5822116"
6,0.0035580697,"(x1 * 0.13570286) + 0.4557487"
9,0.002184753,"(x4 + 0.45146483) + (x1 * 0.122311465)"
11,0.0021845836,"((x4 * 0.98904526) + 0.45151585) + (x1 * 0.122454874)"
12,0.0018444932,"((x4 / x6) + 0.44878867) + (x1 * 0.12158269)"
14,0.0018044511,"((x1 * 0.12448771) + 0.44649637) + (x4 / (x2 + -0.24423532))"
15,0.001521043,"((x3 * x4) / x6) + ((x1 * 0.11712242) + 0.45160413)"
17,0.001473303,"((x3 * (x4 + 0.012887172)) / x6) + ((x1 * 0.11606384) + 0.43408397)"
18,0.0014083423,"((x3 * x4) / x6) + (((x1 * 0.1178549) + 0.45164254) * x9)"
19,0.0012790184,"((x8 * (x4 + -0.033910636)) / (x2 + -0.29939163)) + ((x1 * 0.12722833) + 0.49288702)"
21,0.0012003626,"((((x4 * 0.6926337) + -0.02732968) * x8) / (x2 + -0.44572604)) + ((x1 * 0.12564789) + 0.5000331)"
22,0.0010641526,"(((x1 * 0.18151434) * x7) + 0.50409096) + (((x4 + -0.0433606) * x8) / (x2 + -0.34369195))"
24,0.0010589783,"(((x1 * 0.12728773) + 0.49771157) * x9) + ((((x4 + -0.038534515) * 0.7302331) * x8) / (x2 + -0.42008236))"
25,0.0009906658,"((((x7 * x4) + -0.031752568) * x8) / (x2 + -0.4014631)) + (((x1 * 0.13088833) + 0.49930087) * x9)"
27,0.00095992646,"(((x1 * 0.13224946) + 0.4951067) * x9) + ((((x7 * x4) + -0.028497765) * (x8 * 1.3325577)) / (x2 + -0.29023874))"
28,0.0009510063,"(((x1 * 0.13616455) + 0.48826414) * (x9 * x9)) + ((((x4 * x7) + -0.026862085) * (x8 * 1.9294866)) / x2)"
30,0.0009391142,"((((x7 * x4) + -0.027840244) * (x8 * 1.4826868)) / (x2 + -0.21407019)) + (((x1 * 0.13426508) + 0.49209422) * (x9 * x9))"
