Complexity,Loss,Equation
1,0.187967,"qG"
3,0.16510333,"qG * nr_X"
5,0.14123979,"(qG * nr_X) * 0.8837834"
7,0.050538868,"qG / ((0.30950156 / nr_X) + 0.58842146)"
9,0.032768015,"qG / (0.66233814 - ((nr_M * -0.27667144) / nr_X))"
11,0.020850653,"qG / (((0.11977985 - (nr_M * -0.22544043)) / nr_X) + 0.5750931)"
13,0.0025554746,"qG / ((((nr_P / 4.5973034) - (nr_M * -0.20798348)) / nr_X) + 0.52946687)"
15,0.00019535478,"qG / ((0.18773764 / ((nr_X / (nr_P - (nr_M * -1.2379742))) + 0.016483048)) - -0.53603214)"
17,0.00016183345,"qG * ((nr_X / (((nr_X / 1.7821835) - (nr_P * -0.20042102)) - (nr_M * -0.2625668))) + 0.08589453)"
19,0.00016183053,"qG * ((nr_X / ((((nr_X / 1.7819322) - (nr_P * -0.20048529)) - (nr_M * -0.26255047)) - -1.3362637e-5)) + 0.08601615)"
23,4.564837e-5,"qG * ((nr_X / ((nr_X / ((nr_X / ((nr_X / 1.6635592) - (nr_P * -0.24471837))) - -0.15294719)) - (nr_M * -0.24718794))) + 0.056461122)"
25,4.5625224e-5,"(((nr_X / ((nr_X / ((nr_X / ((nr_X / 1.6629114) - (nr_P * -0.24534078))) - -0.15450482)) - (nr_M * -0.24721016))) - -0.28170183) + -0.22549988) * qG"
