Complexity,Loss,Equation
1,0.1536757,"qG"
3,0.15367445,"qG * 1.0009494"
5,0.1384192,"qG + (nr_M * 0.10707271)"
7,0.07129995,"((nr_M - nr_X) * 0.35049814) + qG"
9,0.0327251,"((nr_M / (nr_X + 1.2666651)) - -0.52695376) * qG"
11,0.0125321075,"qG * ((nr_M / (nr_X + (nr_P - -0.6302958))) + 0.57026726)"
13,0.0060404004,"((nr_M / ((nr_X + nr_P) - (nr_M * -0.41213608))) + 0.54468817) * qG"
15,0.00069440046,"qG * ((nr_M / ((nr_X + (nr_P * 0.57325137)) - (nr_M * -0.45833918))) + 0.4747948)"
17,0.0006761214,"(((nr_M / (nr_X + (((nr_M / 1.2391443) + nr_P) * 0.58865887))) + 0.45418996) * qG) / 0.9693136"
19,0.0006749399,"((qG * ((nr_M / (nr_X + ((nr_P + (nr_M / 1.2304108)) * 0.5891157))) + 0.45125127)) - 0.000442341) * 1.0367408"
21,0.0006348171,"((nr_M / ((((nr_P + (nr_M / 1.2211924)) * 0.55964506) + ((nr_X * -0.04260174) * nr_X)) + nr_X)) + 0.4615888) * qG"
23,0.0005357451,"qG * ((nr_M / ((((nr_P + nr_M) + (((nr_P * (nr_P - nr_M)) + nr_P) * 0.15580212)) * 0.48187745) + nr_X)) + 0.47879127)"
